wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n07393161	bn:00069842n	n	screech, screeching, shriek, shrieking, scream, screaming	chirrido, screamings, screaming	a high-pitched noise resembling a human cry	0.935	9	7
n07393919	bn:00071894n	n	sizzle	chisporroteo	a sizzling noise	1.0	9	7
n07394814	bn:00073160n	n	spatter, spattering, splatter, splattering, sputter, splutter, sputtering	chisporroteo, chorreo, salpicadura, pulverización_catódica	the noise of something spattering or sputtering explosively	1.0	9	7
v02088627	bn:00085976v	v	crash	chocar, colisionar, estrellarse, moverse_ruidosamente, quebrarse	move with, or as if with, a crashing noise	1.0	99	99
n07278256	bn:00018729n	n	Chopin	chopin	the music of Chopin	1.0	1	5
n10896644	bn:00018731n	n	Chopin, Frederic_Francois_Chopin	chopin, frederic_chopin, fryderyk_chopin, fryderyk_franciszek_chopin, frédéric_chopin, frederic_françois_chopin, frédéric_françois_chopin	French composer (born in Poland) and pianist of the romantic school (1810-1849)	0.421	12	8
n07057095	bn:00069651n	n	schottische	chotis	music performed for dancing the schottische	0.382	4	7
n11002548	bn:00018856n	n	Gluck, Christoph_Willibald_von_Gluck	christoph_willibald_gluck, christoph_willibald_von_gluck, cristoph_gluck, gluck	German composer of more than 100 operas (1714-1787)	0.418	12	8
n07379852	bn:00018980n	n	chug	chug, resoplido	the dull explosive noise made by an engine	0.667	9	7
n10070711	bn:00032233n	n	exhibitionist, show-off	chulapo, chuleta, chulo, compadre, exhibicionista, fachendista, fachendoso, fachenda, fafarechero, farolero, pinturero, principote, fardón, figurón, papelón, vacilón, chulapón	someone who deliberately behaves in such a way as to attract attention	0.429	11	7
n00210797	bn:00019920n	n	finale, close, closing_curtain, finis	cierre, final, conclusión, cierre_del_telón	the concluding part of any performance	0.689	13	11
n09986450	bn:00024793n	n	cymbalist	cimbalero, cimbalista	a performer on the cymbals	1.0	12	8
n02795978	bn:00008699n	n	barrel_organ, grind_organ, hand_organ, hurdy_gurdy, hurdy-gurdy, street_organ	cinfonia, hurdy_gurdy, organillo, organito, zanfonia, zanfona, zanfoña, cinfonía, zanfonía	a musical instrument that makes music by rotation of a cylinder studded with pegs	0.343	12	8
n02757810	bn:00007114n	n	audiotape	cinta_de_audio	a tape recording of sound	1.0	14	10
n04534359	bn:00079978n	n	videotape	cinta_de_video, cintas_de_video, tape, video-cassette, video_cassette, videocasete, videocintas, videocinta, videotape, video, cinta_de_vídeo, cintas_de_vídeo	a relatively wide magnetic tape for use in recording visual images and associated sound	0.114	13	9
n04534520	bn:00079977n	n	videotape	cinta_de_video, videocinta	a video recording made on magnetic tape	0.5	14	10
n03035832	bn:00019280n	n	cittern, cithern, cither, citole, gittern	cistro, citole, guiterna, cítara	a 16th century musical instrument resembling a guitar with a pear-shaped soundbox and wire strings	0.321	14	10
n11287186	bn:00019443n	n	Schumann, Clara_Josephine_Schumann	clara_schumann_trean, clara_schumann, clara_wieck, schumann	German pianist and composer of piano music; renowned for her interpretation of music, especially the music of her husband Robert Schumann (1819-1896)	0.493	12	8
n02803539	bn:00008919n	n	bass_clarinet	clarinete_bajo	a large clarinet whose range is an octave below the B-flat clarinet	0.804	17	13
n02803809	bn:00008931n	n	basset_horn	clarinete_tenor, corni_di_bassetto, corno_de_bajete, corno_di_basetto, corno_di_bassetto, corno_di_basseto	a tenor clarinet; pitched in the key of F below the B-flat clarinet	0.729	17	13
n09926246	bn:00019457n	n	clarinetist, clarinettist	clarinetista, clarinete	a musician who plays the clarinet	1.0	11	7
n11187364	bn:00019600n	n	Monteverdi, Claudio_Monteverdi	claudio_monteverdi, monteverdi, claudio_giovanni_antonio_monteverdi	Italian composer (1567-1643)	0.398	12	8
v00715541	bn:00091005v	v	pin_down, peg_down, nail_down, narrow_down, narrow, specify	clavar, especificar, identificar_exactamente, reducir	define clearly	1.0	99	99
n06863751	bn:00048988n	n	key, tonality	clave, llave, sistema_tonal, tonalidad, tono	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music	0.624	7	7
n06862562	bn:00019683n	n	clef	clave_de_fa, clave_de_sol, clave_musical, clave	a musical notation written on a staff indicating the pitch of the notes following it	0.717	7	7
n06862805	bn:00036968n	n	treble_clef, treble_staff, G_clef	clave_de_sol	a clef that puts the G above middle C on the second line of a staff	0.713	8	8
n10161047	bn:00043054n	n	harpsichordist	clavecinista, clavicembalista, clavicordio, harpiscordista	someone who plays the harpsichord	0.632	11	7
n03038870	bn:00019611n	n	clavichord	clavicordios, clavicordio, manicordio	an early stringed instrument like a piano but with more delicate sound	0.476	13	9
n10928978	bn:00019711n	n	Delibes, Leo_Delibes, Clement_Philibert_Leo_Delibes	clement_philibert_leo_delibes, leo_delibes, léo_delibes, clément_philibert_léo_delibes	French composer of operas (1836-1891)	0.464	12	8
n07039478	bn:00020348n	n	finale, coda	coda, finale, final	the closing section of a musical composition	0.784	3	7
n03691817	bn:00052106n	n	lounge, waiting_room, waiting_area	cola, estancia, fila, lista_de_espera, lista, sala_de_espera, área_de_colas, área_de_filas	a room (as in a hotel or airport) with seating where people can wait	0.341	12	8
n03067912	bn:00020593n	n	collage, montage	colaje, collages, collage, montaje, montaje_fotográfico	a paste-up made by sticking together pieces of paper or photographs to form an artistic image	0.145	12	8
n11243268	bn:00020570n	n	Porter, Cole_Porter, Cole_Albert_Porter	cole_albert_porter, cole_porter, porter	United States composer and lyricist of musical comedies (1891-1946)	0.371	12	8
n11035017	bn:00020571n	n	Hawkins, Coleman_Hawkins	coleman_hawkins, coleman_randolph_hawkins, hawkins	United States jazz saxophonist (1904-1969)	0.748	12	8
n07239327	bn:00020684n	n	colloquium	coloquio	an address to an academic meeting or seminar	0.0	9	7
n04988478	bn:00020728n	n	color, colour, coloration, colouration	coloracion, color, coloración	the timbre of a musical sound	0.484	8	6
n00546299	bn:00020766n	n	coloratura	coloratura	singing with florid ornamentation	1.0	11	9
n09938080	bn:00020765n	n	coloratura, coloratura_soprano	coloratura_soprano, coloratura, soprano_d'agilita, soprano_de_coloratura, soprano_di_coloratura, soprano_d'agilità	a lyric soprano who specializes in coloratura vocal music	0.912	13	9
n10042300	bn:00029543n	n	eater, feeder	comedor, feeder	someone who consumes food for nourishment	0.79	10	6
n10013242	bn:00027185n	n	diner	comensal	a person eating a meal (especially in a restaurant)	0.5	11	7
n07294423	bn:00020910n	n	deserts, comeuppance, comeupance	comeupance, merecido	an outcome (good or bad) that is well deserved	0.333	10	8
n07031752	bn:00000717n	n	accompaniment, musical_accompaniment, backup, support	comp, acompañamiento, acompañamiento_musical, música_de_acompañamiento	a musical part (vocal or instrumental) that supports or provides background for other musical parts	0.941	3	7
n10687826	bn:00027200n	n	tablemate, dining_companion	compañero_de_mesa	someone you dine with	0.5	12	8
n06864524	bn:00056473n	n	time_signature, musical_time_signature	compas_cuaternario, compas_musical, indicacion_de_compas, marca_de_tiempo, compás, compás_musical, compás_cuaternario, indicación_de_compás	a musical notation indicating the number of beats to a measure and kind of note that takes a beat	0.829	7	7
n05868954	bn:00021394n	n	component, constituent, element, factor, ingredient	componente, constituyente, elemento, factor, ingrediente	an abstract part of something	0.699	10	8
v01705494	bn:00085488v	v	compose, write	componer, escribir, integrar, redactar	write music	1.0	99	99
n00939452	bn:00021399n	n	composing, composition	composición	musical creation	0.667	10	8
n07037465	bn:00021408n	n	musical_composition, opus, composition, piece, piece_of_music	composicion_musical, composicion, obra, opus, pieza_musical, pieza, composición, composición_musical, composición_de_música	a musical work that has been created	0.596	1	5
n09947232	bn:00021397n	n	composer	compositora, compositor, compositor_de_música, compositora_de_música	someone who composes music as a profession	0.789	11	7
n07109019	bn:00007129n	n	auditory_communication	comunicación_oral, comunicación_auditiva	communication that relies on hearing	0.333	1	3
n03802973	bn:00056536n	n	mute	con_sordino, sordina	a device used to soften the tone of a musical instrument	0.623	12	8
n07043389	bn:00021569n	n	concerto_grosso	concerti_grossi, concerto_da_chiesa, concerto_grosso, concierto_grosso	a baroque composition for orchestra and a group of solo instruments	0.812	4	7
n03086670	bn:00021567n	n	concertina	concertina, acordeón	free-reed instrument played like an accordion by pushing its ends together to force air through the reeds	0.496	14	10
n10511649	bn:00066538n	n	recitalist	concertista	a musician who gives recitals	1.0	12	8
n06892775	bn:00021559n	n	concert	concertista, concerto, concierto_de_musica, conciertos, concierto, recital, audición, actuación, concertación, representación, concierto_de_música	a performance of music by players or singers not involving theatrical staging	0.489	9	7
n10623650	bn:00072749n	n	soloist	concertista, solista	a musician who performs a solo	0.905	11	7
n07043275	bn:00021568n	n	concerto	concierto	a composition for orchestra and a soloist	0.93	3	6
n06892657	bn:00009908n	n	benefit_concert	concierto_benefico, concierto_benéfico	a concert given for the benefit of some charitable cause	0.408	10	8
n06892979	bn:00068058n	n	rock_concert	concierto_de_rock	a performance of rock music	0.9	10	8
n01255648	bn:00071727n	n	singalong, singsong	concierto_improvisado	informal group singing of popular songs	0.456	11	9
n15224692	bn:00064472n	n	prison_term, sentence, time	condena, tiempo_de_condena, tiempo	the period of time a prisoner is imprisoned	0.007	8	6
n01133760	bn:00021674n	n	conducting	conduccion_de_orquesta, direccion_de_orquesta, dirección_de_orquesta, conducción_de_orquesta	the direction of an orchestra or choir	0.786	9	7
n09952539	bn:00021678n	n	conductor, music_director, director	conductor, director_de_orquesta, directora_de_orquesta, directores_de_orquesta, directora, director	the person who leads a musical group	0.791	11	7
n10299250	bn:00030515n	n	master_of_ceremonies, emcee, host	conductor, maestra_de_ceremonias, maestro_de_ceremonias, presentador	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0.252	9	5
n05929461	bn:00072882n	n	soubrette	confidente, soprano_doubrette, soprano_soubrette, soubrette	a minor female role as a pert flirtatious lady's maid in a comedy	0.634	12	10
n05126228	bn:00021756n	n	confines	confines, confín	a bounded scope	0.5	9	7
n08432149	bn:00021798n	n	conga_line	conga_de_salon, conga, conga_de_salón	a line of people in single file performing the conga dance	0.596	8	6
n07055295	bn:00021796n	n	conga	congas, conguero, conga, tumbadoras, tumbadora, tambó	music composed for dancing the conga	0.752	2	6
n07294019	bn:00001874n	n	consequence, aftermath	consecuencia, consequence, repercusión	the outcome of an event especially as relative to an individual	0.804	9	7
n08188814	bn:00018666n	n	choir, consort	consort_de_instrumentos, consort	a family of similar musical instrument playing together	0.779	7	5
n11115131	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	constant_lambert, lambert	English composer and conductor (1905-1951)	0.487	12	8
n07492655	bn:00022000n	n	consolation, solace, solacement	consuelo, solaz, consolación	the comfort you feel when consoled in times of disappointment	0.01	9	7
a00419289	bn:00101429a	a	dirty, soiled, unclean	contaminada, contaminado, inmundo, sucia, sucio	soiled or likely to soil with dirt or grime	0.8	99	99
v00492310	bn:00088514v	v	foul	contaminar, ensuciar	make unclean	1.0	99	99
n07064315	bn:00065774n	n	rhythm_and_blues, R_and_B	contemporary_r&b, jumping_music, r&b, r&m, r_&_b, rhythm&blues, rhythm'n'blues, rhythm_&_blues, rhythm_and_blues, rithm_and_blues, rnb, rythm'n'blues, rythm_&_blues, rythm_'n'_blues, rythm_and_blues	a combination of blues and jazz that was developed in the United States by Black musicians; an important precursor of rock 'n' roll	0.784	3	6
n03096439	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	contra_fagot, contrafagot, contrabajón	the bassoon that is the largest instrument in the oboe family	0.765	17	13
n02803934	bn:00008922n	n	bass_fiddle, bass_viol, bull_fiddle, double_bass, contrabass, string_bass	contrabajista, contrabajos, contrabajo, doble_bajo, violón	largest and lowest member of the violin family	0.69	13	9
n09961198	bn:00022251n	n	contralto	contralto	a woman singer having a contralto voice	0.791	12	8
v01705841	bn:00085885v	v	counterpoint	contrapuntear	write in counterpoint	1.0	99	99
n07025419	bn:00023212n	n	counterpoint	contrapuntistico, contrapunto, musica_contrapuntistica, contrapuntístico, música_contrapuntística	a musical form involving the simultaneous sound of two or more melodies	0.729	2	6
n07032026	bn:00026485n	n	descant, discant	contrapunto, discanto, discant	a decorative musical accompaniment (often improvised) added above a basic melody	0.75	4	8
n05126362	bn:00022265n	n	contrast	contraste	the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)	0.167	9	7
n09970295	bn:00023225n	n	countertenor	contratenor	a male singer with a voice above that of a tenor	0.725	13	9
n06872785	bn:00003147n	n	countertenor, alto	contratenor	the highest adult male singing voice	0.5	5	5
n13977732	bn:00022403n	n	convulsion, turmoil, upheaval	convulsión	a violent disturbance	1.0	8	6
n07063413	bn:00022428n	n	cool_jazz	cool_jazz, cool	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0.784	4	7
n03288742	bn:00022546n	n	English_horn, cor_anglais	cor_anglais, corno_ingles, cuerno, corno_inglés, cuerno_inglés	a double-reed woodwind instrument similar to an oboe but lower in pitch	0.806	16	12
a02874282	bn:00099649a	a	choral	coral	related to or written for or performed by a chorus or choir	0.8	99	99
n08187837	bn:00018782n	n	chorus	coral, coro	a group of people assembled to sing together	0.056	8	6
r00135998	bn:00114718r	r	chorally	coralmente	by a chorus	1.0	99	99
n09920771	bn:00018772n	n	chorister	corista	a singer in a choir	0.637	12	8
n02775483	bn:00007953n	n	bagpipe	cornamusa, gaita	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	0.289	14	10
n09878179	bn:00013716n	n	bugler	cornetista, corneta	someone who plays a bugle	0.333	12	8
n07050177	bn:00018783n	n	refrain, chorus	coro, estribillos, estribillo	the part of a song where a soloist is joined by a group of singers	0.66	1	5
n07061334	bn:00041147n	n	gospel, gospel_singing	coro_de_gospel, gospel, musica_gospel, góspel, música_gospel	folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)	0.529	4	7
n08187988	bn:00018785n	n	chorus, Greek_chorus	coro_griego, coro	a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play	0.182	8	6
n07060440	bn:00014397n	n	country_music, country_and_western, C_and_W	country_&_western, country_and_western, country_music, country, musica_country, música_country	a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments	0.76	4	7
n00526663	bn:00023277n	n	courante	courante	a court dance of the 16th century; consisted of short advances and retreats	0.663	10	8
n04990525	bn:00023748n	n	crescendo	crescendo	(music) a gradual increase in loudness	0.734	8	6
n06693744	bn:00066282n	n	rave	crítica_muy_favorable	an extravagantly enthusiastic review	0.0	7	7
n10339856	bn:00056447n	n	music_critic	critico_musical, crítico_musical	a critic of musical performances	0.486	11	7
n06861196	bn:00018867n	n	chromatic_scale	cromatica, cromatico, escala_cromatica, escala_dodecafona, escala_duodecuple, escala_cromática, escala_crómatica, escala_dodecáfona, escala_duodécuple	a 12-note scale including all the semitones of the octave	0.669	8	8
a00409750	bn:00099662a	a	chromatic	cromático	based on a scale consisting of 12 semitones	0.667	99	99
n09980090	bn:00008157n	n	crooner, balladeer	crooners, crooner, crooning, cantante_melódico	a singer of popular ballads	0.772	12	8
n04614844	bn:00082041n	n	zill	crotalos, zill, crótalos	one of a pair of small metallic cymbals worn on the thumb and middle finger; used in belly dancing in rhythm with the dance	0.382	14	10
n07381864	bn:00023631n	n	creak, creaking	crujido	a squeaking sound	1.0	9	7
n07393500	bn:00069901n	n	scrunch	crujido	a crunching noise	1.0	9	7
n07392783	bn:00068649n	n	rustle, rustling, whisper, whispering	crujido, murmullo, susurro, frufrú	a light noise, like the noise of silk clothing or leaves blowing in the wind	0.2	9	7
n07056593	bn:00065508n	n	quadrille	cuadrilla	music for dancing the quadrille	0.287	2	6
n04987620	bn:00065539n	n	timbre, timber, quality, tone	cualidad, timbre, tono	(music) the distinctive property of a complex sound (a voice or noise or musical sound)	0.484	7	5
n07041688	bn:00065610n	n	quartet, quartette	cuarteto	a musical composition for four performers	1.0	2	6
n08247251	bn:00065609n	n	quartet, quartette	cuarteto, cuarteto_de_música	four performers or singers who perform together	0.872	8	6
n08247561	bn:00074691n	n	string_quartet, string_quartette	cuarteto_de_cuerdas, cuarteto_de_cuerda	an instrumental quartet with 2 violins and a viola and a cello	0.809	9	7
n06258541	bn:00035595n	n	foldout, gatefold	cubierta_desplegable	an oversize page that is folded in to a book or magazine	0.929	12	9
n10917554	bn:00024405n	n	Cunningham, Merce_Cunningham	cunningham, merce_cunningham, mercier_philip_cunningham	United States dancer and choreographer (born in 1922)	0.22	10	6
n06869271	bn:00070284n	n	segno	dal_segno, segno	(music) a notation written at the beginning or end of a passage that is to be repeated	0.722	7	7
n08249960	bn:00008283n	n	dance_band, band, dance_orchestra	dance_band, orquesta_de_baile, orquesta_ligera	a group of musicians playing popular music for dancing	0.875	8	6
n00542149	bn:00025150n	n	danse_macabre, dance_of_death	danza_de_la_muerte, danzas_de_la_muerte	a medieval dance in which a skeleton representing death leads a procession of others to the grave	0.235	11	9
n07060976	bn:00048066n	n	jazz	danza_jazz, jazz	a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands	0.322	2	6
v01880560	bn:00083276v	v	beat_out, tap_out, thump_out	dar_golpes, golpear_al_ritmo	beat out a rhythm	1.0	99	99
v01415285	bn:00091762v	v	punch, plug	dar_un_puñetazo	deliver a quick blow to	1.0	99	99
n11179124	bn:00025231n	n	Milhaud, Darius_Milhaud	darius_milhaud	French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)	0.409	12	8
n04991225	bn:00025785n	n	decrescendo, diminuendo	decrescendo, diminuendo	(music) a gradual decrease in loudness	0.737	8	6
n11333601	bn:00025809n	n	Taylor, Deems_Taylor, Joseph_Deems_Taylor	deems_taylor, joseph_deems_taylor, taylor	United States composer and music critic (1885-1966)	0.392	12	8
n10929316	bn:00026059n	n	Delius, Frederick_Delius	delius, frederick_delius, frederick_theodore_albert_delius	English composer of orchestral works (1862-1934)	0.47	12	8
n13257982	bn:00068452n	n	royalty	derechos_de_autor, derechos_de_patente, derechos, regalía, regalías	payment to the holder of a patent or copyright or resource for the right to use their property	0.183	10	8
n07068631	bn:00026702n	n	development	desarrollo_musical	(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	0.843	2	6
n07215377	bn:00032377n	n	exposure	descubrimiento, desvelamiento, revelación	the disclosure of something secret	1.0	9	7
n07215568	bn:00032368n	n	expose, unmasking	desenmascaramiento, exposé	the exposure of an impostor or a fraud	0.722	10	8
n06857264	bn:00072151n	n	swoop, slide	deslizamiento	(music) rapid sliding up or down the musical scale	1.0	3	7
n14498567	bn:00027191n	n	dinginess, dinge	deslucimiento	discoloration due to dirtiness	0.5	9	7
v01713587	bn:00083577v	v	blaze_away	deslumbrar	perform (an acting passage) brilliantly and rapidly	0.5	99	99
a02426042	bn:00106642a	a	messy, mussy	desordenado	dirty and disorderly	1.0	99	99
n10018653	bn:00027763n	n	distiller	destilador, licorista	someone who distills alcoholic liquors	0.25	11	7
v00700708	bn:00086715v	v	determine	determinar	fix in scope; fix the boundaries of	1.0	99	99
n10933449	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	diaghilev, diagilev, serge_diaghilev, sergei_diaghilev, sergei_diagilev, sergei_pavlovich_diaghilev, sergei_pavlovich_diaguilev, serguei_diaghilev, serguei_diaguilev, diágilev, sergei_diágilev, sergéi_diagilev, sergéi_diágilev, sergéi_diaghilev, serguéi_diáguilev, sergei_pavlovich_diáguilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0.35	14	10
n03950647	bn:00062651n	n	pitch_pipe	diapasón	a small pipe sounding a tone of standard frequency; used to establish the starting pitch for unaccompanied singing	0.621	14	10
n06860323	bn:00026903n	n	diatonic_scale	diatonica, escala_diatonica, diatónica, escala_diatónica	a scale with eight notes in an octave; all but two are separated by whole tones	0.645	8	8
a00409889	bn:00101330a	a	diatonic	diatónico	based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals	1.0	99	99
n07036546	bn:00027001n	n	Dies_Irae	dies_irae, dies_iræ	the first words of a medieval Latin hymn describing the Last Judgment (literally `day of wrath')	0.522	5	8
n11299030	bn:00027958n	n	Shostakovich, Dmitri_Shostakovich, Dmitri_Dmitrievich_Shostakovich	dimitri_shostakovich, dimitri_shostakovitch, dmitri_dmitrievich_shostakovich, dmitri_shostakovich, dmitri_shostakovitch, schostakovich, shostakovich, shostakovitch, shostakóvich, shostakóvitch, dmitri_shostakóvich, dimitri_shostakóvich, dmitri_dmitrievich_shostakóvich, dmitri_dmitriévich_shostakovich, dmitri_dmitriévich_shostakóvich	Russian composer best known for his fifteen symphonies (1906-1975)	0.449	12	8
n09837360	bn:00008317n	n	bandmaster	director_de_banda, director_de_orquesta, músico_mayor	the conductor of a band	0.355	12	8
n09837201	bn:00008316n	n	bandleader	director_de_banda, lider_de_banda, líder_de_banda	the leader of a dance band	0.946	12	8
n10531948	bn:00067888n	n	ringmaster	director_de_circo, jefe_de_pista, maestro_de_ceremonias	the person in charge of performances in a circus ring	0.125	10	6
n10017272	bn:00027461n	n	disk_jockey, disc_jockey, dj	disc-jockey, disc_jockeys, disc_jockey, discjockey, disk_jockey, diskjockey, disyoquei, disyoquey, diyei, dj, pinchadiscos, pincha, diyéi, disyóquei, disyóquey	a person who announces and plays popular recorded music	0.572	10	6
n03924069	bn:00027454n	n	phonograph_record, phonograph_recording, record, disk, disc, platter	disco_de_pasta, disco_de_vinilo, disco_de_vinil, disco_vinilo, discos_de_vinilo, disco, grabacion_en_vinilo, plato, registro, ripping, vinilos, vinilo, vinyl, grabación_en_vinilo	sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove	0.424	14	10
n06851516	bn:00049558n	n	label, recording_label	discografica, sello_discografico, sello_discográfico	trade name of a company that produces musical recordings	0.663	9	7
n07059626	bn:00027490n	n	disco, disco_music	discoteca, disco, electro-boogie, musica_disco, música_disco	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques	0.739	3	6
n07240077	bn:00046246n	n	inaugural_address, inaugural	discurso_inaugural, inaugural	an address delivered at an inaugural ceremony (especially by a United States president)	0.0	9	7
n07030549	bn:00027160n	n	diminution	disminucion, disminución	the statement of a theme in notes of lesser duration (usually half the length of the original)	0.852	4	8
n05720248	bn:00027739n	n	noise, dissonance, racket	disonancia, estruendo, ruido, estrépito	the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience	1.0	11	9
a01164561	bn:00101590a	a	unresolved, dissonant	disonante	characterized by musical dissonance; harmonically unresolved	1.0	99	99
n07239428	bn:00027834n	n	dithyramb	ditirambo	a wildly enthusiastic speech or piece of writing	0.0	5	5
n10471732	bn:00027843n	n	prima_donna, diva	diva, prima_donna, prima_dona, primadona	a distinguished female operatic singer; a female operatic star	0.605	13	9
n07042586	bn:00027873n	n	divertimento, serenade	divertimenti, divertimento, divertissement, serenata	a musical composition in several movements; has no fixed form	0.713	2	6
n11000012	bn:00027952n	n	Gillespie, Dizzy_Gillespie, John_Birks_Gillespie	dizzie_gillespie, dizzy_gillespie, gillespie, john_birks_gillespie	United States jazz trumpeter and exponent of bebop (1917-1993)	0.674	12	8
n07386194	bn:00049319n	n	knell	doble, knell, toque_de_difuntos	the sound of a bell rung slowly to announce a death or a funeral or the end of something	0.125	9	7
n07057539	bn:00000021n	n	twelve-tone_music, 12-tone_music, twelve-tone_system, 12-tone_system	dodecafonico, dodecafonismo, dodecafonia, musica_dodecafonica, serie_dodecafonica, series_dodecafonicas, sistema_dodecafonico, dodecafonía, dodecafónico, serie_dodecafónica, musica_dodecafónica, música_dodecafonica, música_dodecafónica, series_dodecafónicas, sistema_dodecafónico	a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)	0.722	2	6
n03586448	bn:00047509n	n	iron_maiden	doncella_de_hierro, iron_maiden	instrument of torture consisting of a hollow iron frame shaped like the human body and lined with spikes to impale the victim	0.02	14	10
n10939360	bn:00028226n	n	Donizetti, Gaetano_Donizetti	donizetti, gaetano_donizetti	Italian composer of operas (1797-1848)	0.483	12	8
n07061677	bn:00028239n	n	doo-wop	doo_wop	a genre (usually a cappella) of Black vocal-harmony music of the 1950s that evolved in New York City from gospel singing; characterized by close four-part harmonies; the name derived from some of the nonsense syllables sung by the backup	0.751	5	8
n11190024	bn:00028442n	n	Moore, Douglas_Moore	douglas_moore	United States composer of works noted for their use of the American vernacular (1893-1969)	0.303	12	8
n10941992	bn:00028468n	n	Dowland, John_Dowland	dowland, john_dowland	English lutenist and composer of songs for the lute (1563-1626)	0.477	12	8
n07026920	bn:00056460n	n	musical_drama	drama_musical	opera in which the musical and dramatic elements are equally important; the music is appropriate to the action	0.8	4	7
n07041451	bn:00029059n	n	duet, duette, duo	dueto_musical, duette, dueto, duo_musical, dupla, duo, dúo, dúo_musical	a musical composition for two performers	0.827	2	6
n10944593	bn:00029073n	n	Dukas, Paul_Dukas	dukas, p.dukas, p_dukas, paul_dukas	French composer (1865-1935)	0.49	12	8
n10958010	bn:00029076n	n	Ellington, Duke_Ellington, Edward_Kennedy_Ellington	duke_ellington, edward_kennedy_ellington, ellington	United States jazz composer and piano player and bandleader (1899-1974)	0.55	12	8
n08247021	bn:00029058n	n	duet, duette, duo	dúo	two performers or singers who perform together	0.667	8	6
n11360534	bn:00029743n	n	Varese, Edgar_Varese	edgar_varese, varese, edgar_varèse	United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965)	0.5	12	8
n11234152	bn:00029767n	n	Piaf, Edith_Piaf, Edith_Giovanna_Gassion, Little_Sparrow	edith_giovanna_gassion, edith_piaf, little_sparrow, piaf, édith_piaf, édith_giovanna_gassion	French cabaret singer (1915-1963)	0.239	12	8
n11016199	bn:00029817n	n	Grieg, Edvard_Grieg, Edvard_Hagerup_Grieg	edvard_grieg, edvard_h._grieg, edvard_hagerup_grieg, edward_grieg, grieg	Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)	0.44	12	8
n10956134	bn:00030344n	n	Elgar, Sir_Edward_Elgar, Sir_Edward_William_Elgar	edward_elgar, edward_william_elgar, elgar, sir_edward_elgar	British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)	0.463	12	8
n11147185	bn:00029840n	n	MacDowell, Edward_MacDowell	edward_macdowell	United States composer best remembered as a composer of works for the piano (1860-1908)	0.548	12	8
n05917869	bn:00072900n	n	sound_effect	efecto_de_audio, efecto_de_sonido, efecto_sonoro	an effect that imitates a sound called for in the script of a play	0.323	10	8
n09735790	bn:00029883n	n	effendi	efendi	a former Turkish term of respect; especially for government officials	0.022	12	8
n11407048	bn:00029906n	n	Zimbalist, Efrem_Zimbalist	efrem_zimbalist, zimbalist	United States violinist (born in Russia) (1889-1985)	0.47	12	8
n00540396	bn:00029994n	n	eightsome	eightsome	a Scottish reel for eight dancers	1.0	15	13
n10967152	bn:00029995n	n	Farrell, Eileen_Farrell	eileen_farrell, farrell	United States operatic soprano noted for the clarity and power of her voice (1920-2002)	0.692	13	9
v01724459	bn:00091712v	v	play, spiel	ejecutar, hablar_largamente, interpretar, jugar, tocar	replay (as a melody)	1.0	99	99
n07042405	bn:00054527n	n	Messiah	el_mesias, hwv_56, messiah, el_mesías	an oratorio composed by Handel in 1742	0.669	4	7
n11035780	bn:00036272n	n	Haydn, Joseph_Haydn, Franz_Joseph_Haydn	el_poder_musical, franz_joseph_haydn, haydn, jadyan, joseph_haydn	prolific Austrian composer who influenced the classical form of the symphony (1732-1809)	0.484	12	8
n11246040	bn:00030444n	n	Presley, Elvis_Presley, Elvis_Aron_Presley	el_rey_del_rock, elvis_aaron_presley, elvis_presley, ginger_alden	United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)	0.377	13	9
