wn_synset	babelnet_id	pos	lemmata en	lemmata it	definition	confidence	dist_from_music	dist_from_entity
n00546299	bn:00020766n	n	coloratura	coloratura	singing with florid ornamentation	1.0	11	9
n04988478	bn:00020728n	n	color, colour, coloration, colouration	colorito, colore	the timbre of a musical sound	0.484	8	6
v01415285	bn:00091762v	v	punch, plug	colpire, dare_un_pugno	deliver a quick blow to	1.0	99	99
n07295629	bn:00061123n	n	wages, reward, payoff	compenso, premio, ricompensa, risarcimento	a recompense for worthy acts or retribution for wrongdoing	0.333	10	8
n08188235	bn:00030961n	n	ensemble	complesso_musicale, complesso, ensemble	a group of musicians playing or singing together	0.875	8	6
n05868954	bn:00021394n	n	component, constituent, element, factor, ingredient	componente, elemento, fattore, ingrediente	an abstract part of something	0.699	10	8
n07037465	bn:00021408n	n	musical_composition, opus, composition, piece, piece_of_music	componimento_musicale, componimento, composizione_musicale, composizioni_musicali, composizione, musica, opera_musicale	a musical work that has been created	0.596	1	5
v01705494	bn:00085488v	v	compose, write	comporre, scrivere	write music	1.0	99	99
v01706488	bn:00093355v	v	score	comporre_la_colonna_sonora	write a musical score for	1.0	99	99
n00939452	bn:00021399n	n	composing, composition	composizione	musical creation	0.667	10	8
n03086670	bn:00021567n	n	concertina	concertina, concertine, fisarmonica, piccola_fisarmonica	free-reed instrument played like an accordion by pushing its ends together to force air through the reeds	0.496	14	10
n06892775	bn:00021559n	n	concert	concertista, concerto, esecuzione, performance, rappresentazione, stagione_concertistica	a performance of music by players or singers not involving theatrical staging	0.489	9	7
n07043275	bn:00021568n	n	concerto	concerto	a composition for orchestra and a soloist	0.93	3	6
n06893441	bn:00066535n	n	recital	concerto, recital	performance of music or dance especially by soloists	0.724	9	7
n06892657	bn:00009908n	n	benefit_concert	concerto_benefico, concerto_di_beneficenza	a concert given for the benefit of some charitable cause	0.408	10	8
n07043389	bn:00021569n	n	concerto_grosso	concerto_grosso	a baroque composition for orchestra and a group of solo instruments	0.812	4	7
n06892979	bn:00068058n	n	rock_concert	concerto_rock	a performance of rock music	0.9	10	8
n07240549	bn:00050486n	n	lecture, public_lecture, talk	conferenza, discorso, lettura	a speech that is open to the public	0.0	9	7
n07492655	bn:00022000n	n	consolation, solace, solacement	conforto, consolazione, sostegno	the comfort you feel when consoled in times of disappointment	0.01	9	7
n07387509	bn:00057863n	n	noise	confusione, rumore	sound of any kind (especially unintelligible or dissonant sound)	0.868	8	6
n08432149	bn:00021798n	n	conga_line	conga	a line of people in single file performing the conga dance	0.596	8	6
n07055295	bn:00021796n	n	conga	congas, conga, tumbadora	music composed for dancing the conga	0.752	2	6
n00210797	bn:00019920n	n	finale, close, closing_curtain, finis	congedo, finale	the concluding part of any performance	0.689	13	11
n07294019	bn:00001874n	n	consequence, aftermath	conseguenza, consequence	the outcome of an event especially as relative to an individual	0.804	9	7
n00048656	bn:00007007n	n	attainment	conseguimento, raggiungimento	arrival at a new stage	0.5	10	8
n11115131	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	constant_lambert	English composer and conductor (1905-1951)	0.487	12	8
n02803934	bn:00008922n	n	bass_fiddle, bass_viol, bull_fiddle, double_bass, contrabass, string_bass	contrabasso, contrabbasso	largest and lowest member of the violin family	0.69	13	9
n09786115	bn:00003145n	n	alto	contralto	a singer whose voice lies in the alto clef	1.0	12	8
n09961198	bn:00022251n	n	contralto	contralto	a woman singer having a contralto voice	0.791	12	8
n06872905	bn:00003146n	n	contralto, alto	contralto	the lowest female singing voice	1.0	5	5
n09612580	bn:00022252n	n	contrapuntist	contrappuntista	a composer who specializes in counterpoint	1.0	12	8
v01705841	bn:00085885v	v	counterpoint	contrappunto	write in counterpoint	1.0	99	99
n07025419	bn:00023212n	n	counterpoint	contrappunto	a musical form involving the simultaneous sound of two or more melodies	0.729	2	6
n07057385	bn:00075706n	n	syncopation	contrattempo, controtempo, sincopato, sincope	music (especially dance music) that has a syncopated rhythm	0.755	1	5
n03096439	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	controfagotto	the bassoon that is the largest instrument in the oboe family	0.765	17	13
n09970295	bn:00023225n	n	countertenor	controtenore	a male singer with a voice above that of a tenor	0.725	13	9
n07063413	bn:00022428n	n	cool_jazz	cool_jazz, jazz_freddo	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0.784	4	7
n07009946	bn:00012062n	n	script, book, playscript	copione, sceneggiatura, script, trama	a written version of a play or other dramatic composition; used in preparing for a performance	0.312	6	6
a02874282	bn:00099649a	a	choral	corale	related to or written for or performed by a chorus or choir	0.8	99	99
n09919690	bn:00018670n	n	choirboy	corista	a boy who sings in a choir	0.516	13	9
n10732010	bn:00022752n	n	trumpeter, cornetist	cornettista, trombettista, tromba	a musician who plays the trumpet or cornet	0.507	11	7
n03288742	bn:00022546n	n	English_horn, cor_anglais	corno_inglese	a double-reed woodwind instrument similar to an oboe but lower in pitch	0.806	16	12
n08187837	bn:00018782n	n	chorus	coro	a group of people assembled to sing together	0.056	8	6
n08187988	bn:00018785n	n	chorus, Greek_chorus	coro_greco, coro	a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play	0.182	8	6
n07294260	bn:00022784n	n	corollary	corollario	a practical consequence that follows naturally	0.5	10	8
n06867510	bn:00034102n	n	fermata	corona, fermata, punto_coronato	a musical notation (over a note or chord or rest) that indicates it is to be prolonged by an unspecified amount	0.755	7	7
n00526663	bn:00023277n	n	courante	corrente, courante	a court dance of the 16th century; consisted of short advances and retreats	0.663	10	8
n07060440	bn:00014397n	n	country_music, country_and_western, C_and_W	country_&_western, country_music, country, liscio, musica-country, musica_country, musica_da_ballo, nashville_sound	a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments	0.76	4	7
n03121698	bn:00023352n	n	cover, cover_version, cover_song	cover, riedizione	a recording of a song that was first recorded or made popular by somebody else	0.871	13	9
n07381423	bn:00023462n	n	crack, cracking, snap	crac, schianto, schiocco, scrocchio	a sudden sharp noise	1.0	9	7
v02179372	bn:00084960v	v	chug	crepitare, scoppiettare	make a dull, explosive sound	0.5	99	99
n07391240	bn:00066082n	n	rattle, rattling, rale	crepitio	a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)	0.429	9	7
n04990525	bn:00023748n	n	crescendo	crescendo	(music) a gradual increase in loudness	0.734	8	6
n03439260	bn:00040623n	n	glassworks	cristalleria, glassworks, soffieria, vetreria	a workplace where glass is made	0.552	11	7
n06693744	bn:00066282n	n	rave	critica_entusiasta, elogio	an extravagantly enthusiastic review	0.0	7	7
n10339856	bn:00056447n	n	music_critic	critico_musicale	a critic of musical performances	0.486	11	7
a00409750	bn:00099662a	a	chromatic	cromatico	based on a scale consisting of 12 semitones	0.667	99	99
n06869271	bn:00070284n	n	segno	dal_segno	(music) a notation written at the beginning or end of a passage that is to be repeated	0.722	7	7
n07060976	bn:00048066n	n	jazz	danza_jazz, jazz	a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands	0.322	2	6
n00542149	bn:00025150n	n	danse_macabre, dance_of_death	danza_macabra	a medieval dance in which a skeleton representing death leads a procession of others to the grave	0.235	11	9
n11179124	bn:00025231n	n	Milhaud, Darius_Milhaud	darius_milhaud	French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)	0.409	12	8
n10693052	bn:00020639n	n	tax_collector, taxman, exciseman, collector_of_internal_revenue, internal_revenue_agent	daziere, esattore_delle_imposte, esattore_delle_tasse, esattore, gabelliere	someone who collects taxes for the government	0.479	12	8
n04991225	bn:00025785n	n	decrescendo, diminuendo	decrescendo, diminuendo	(music) a gradual decrease in loudness	0.737	8	6
n10017272	bn:00027461n	n	disk_jockey, disc_jockey, dj	dee_jay, deejay, deejey, disc-jockey, disc_jockey, dj	a person who announces and plays popular recorded music	0.572	10	6
n11333601	bn:00025809n	n	Taylor, Deems_Taylor, Joseph_Deems_Taylor	deems_taylor	United States composer and music critic (1885-1966)	0.392	12	8
n07391516	bn:00067182n	n	report	detonazione	a sharp explosive sound (especially the sound of a gun firing)	0.002	9	7
n10933449	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	diaghilev, diaghilew, serge_de_diaghilev, serge_diaghilev, sergei_diaghilev, sergei_pavlovich_diaghilev, sergei_pawlowitsch_diaghilew, sergej_diaghilev, sergej_diaghilew, sergej_djaghilev, sergej_pawlowitsch_djagilew, sergey_diaghilev, sergey_pavlovich_diaghilev, sergey_pavlovich_dyagilev, sergi_diaghilev, sergej_pavlovič_djagilev, sergei_pavlovič_diaghilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0.35	14	10
a00409889	bn:00101330a	a	diatonic	diatonico	based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals	1.0	99	99
n06860323	bn:00026903n	n	diatonic_scale	diatonico, scala_diatonica	a scale with eight notes in an octave; all but two are separated by whole tones	0.645	8	8
n07036546	bn:00027001n	n	Dies_Irae	dies_irae, dies_iræ	the first words of a medieval Latin hymn describing the Last Judgment (literally `day of wrath')	0.522	5	8
a01577973	bn:00110519a	a	sharp	diesis	(of a musical note) raised in pitch by one chromatic semitone	1.0	99	99
n06866599	bn:00070924n	n	sharp	diesis, ♯	a musical notation indicating one half step higher than the note named	0.54	7	7
n07030549	bn:00027160n	n	diminution	diminuzione	the statement of a theme in notes of lesser duration (usually half the length of the original)	0.852	4	8
n04635482	bn:00029299n	n	dynamism, pizzazz, pizzaz, oomph, zing	dinamismo, dinamicità	the activeness of an energetic personality	0.333	7	5
n00429048	bn:00003693n	n	entertainment, amusement	diporto, distrazione, divertimento, intrattenimento, sollazzamento, spasso, svago	an activity that is diverting and that holds the attention	0.104	9	7
n10531948	bn:00067888n	n	ringmaster	direttore_del_circo	the person in charge of performances in a circus ring	0.125	10	6
n09952539	bn:00021678n	n	conductor, music_director, director	direttore_d'orchestra, direttore_dell'orchestra, direttore_di_orchestra, direttori_d'orchestra, direttore, direttrice_d'orchestra, direzione_d'orchestra, maestro_d'orchestra, maestro_del_coro, maestro	the person who leads a musical group	0.791	11	7
n01133760	bn:00021674n	n	conducting	direzione_d'orchestra	the direction of an orchestra or choir	0.786	9	7
n07393161	bn:00069842n	n	screech, screeching, shriek, shrieking, scream, screaming	dirugginio, stridio, stridore, strido, urlio, urlo	a high-pitched noise resembling a human cry	0.935	9	7
n10322238	bn:00055297n	n	misfit	disadattato, sballato, spostato	someone unable to adapt to their circumstances	0.909	9	5
n07032026	bn:00026485n	n	descant, discant	discanto	a decorative musical accompaniment (often improvised) added above a basic melody	0.75	4	8
n03924069	bn:00027454n	n	phonograph_record, phonograph_recording, record, disk, disc, platter	dischi_in_vinile, disco_a_microsolco, disco_in_vinile, disco, microsolco, record, registrazione, registro	sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove	0.424	14	10
n10886222	bn:00016450n	n	Cash, Johnny_Cash, John_Cash	discografia_di_johnny_cash, johnny_cash	United States country music singer and songwriter (1932-2003)	0.49	12	8
n11076965	bn:00047836n	n	Jackson, Michael_Jackson, Michael_Joe_Jackson	discografia_di_michael_jackson, jacko, michael_j._jackson, michael_jackson, michael_joe_jackson, michael_joseph_jackson, re_del_pop	United States singer who began singing with his four brothers and later became a highly successful star during the 1980s (born in 1958)	0.405	12	8
n07059626	bn:00027490n	n	disco, disco_music	disco-music, disco_dance, disco_music, discoteca, disco, musica_disco	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques	0.739	3	6
n05127959	bn:00032277n	n	sweep, expanse	distesa, estensione	a wide scope	1.0	9	7
n10018653	bn:00027763n	n	distiller	distillatore	someone who distills alcoholic liquors	0.25	11	7
n07239428	bn:00027834n	n	dithyramb	ditirambo	a wildly enthusiastic speech or piece of writing	0.0	5	5
n10471732	bn:00027843n	n	prima_donna, diva	diva, divo, prima_donna, primadonna	a distinguished female operatic singer; a female operatic star	0.605	13	9
n07042586	bn:00027873n	n	divertimento, serenade	divertimento, serenata	a musical composition in several movements; has no fixed form	0.713	2	6
n10561613	bn:00041133n	n	scoffer, gorger	divoratore, ingordo	someone who eats food rapidly and greedily	0.5	11	7
n11000012	bn:00027952n	n	Gillespie, Dizzy_Gillespie, John_Birks_Gillespie	dizzy_gillespie	United States jazz trumpeter and exponent of bebop (1917-1993)	0.674	12	8
n05127500	bn:00018212n	n	chest_register, chest_voice, chest_tone	do_di_petto, voce_di_petto	the lower ranges of the voice in speaking or singing	0.706	9	7
n07057539	bn:00000021n	n	twelve-tone_music, 12-tone_music, twelve-tone_system, 12-tone_system	dodecafonia, musica_dodecafonica	a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)	0.722	2	6
n10939360	bn:00028226n	n	Donizetti, Gaetano_Donizetti	domenico_gaetano_maria_donizetti, donizetti, gaetano_donizetti	Italian composer of operas (1797-1848)	0.483	12	8
n07061677	bn:00028239n	n	doo-wop	doo-wop	a genre (usually a cappella) of Black vocal-harmony music of the 1950s that evolved in New York City from gospel singing; characterized by close four-part harmonies; the name derived from some of the nonsense syllables sung by the backup	0.751	5	8
n11190024	bn:00028442n	n	Moore, Douglas_Moore	douglas_moore, moore	United States composer of works noted for their use of the American vernacular (1893-1969)	0.303	12	8
n10941992	bn:00028468n	n	Dowland, John_Dowland	dowland, john_dowland	English lutenist and composer of songs for the lute (1563-1626)	0.477	12	8
n07026920	bn:00056460n	n	musical_drama	dramma_musicale	opera in which the musical and dramatic elements are equally important; the music is appropriate to the action	0.8	4	7
n07041451	bn:00029059n	n	duet, duette, duo	duetto, duo	a musical composition for two performers	0.827	2	6
n08247021	bn:00029058n	n	duet, duette, duo	duetto, duo	two performers or singers who perform together	0.667	8	6
n10944593	bn:00029073n	n	Dukas, Paul_Dukas	dukas, paul_dukas	French composer (1865-1935)	0.49	12	8
n10958010	bn:00029076n	n	Ellington, Duke_Ellington, Edward_Kennedy_Ellington	duke_ellington	United States jazz composer and piano player and bandleader (1899-1974)	0.55	12	8
n11360534	bn:00029743n	n	Varese, Edgar_Varese	edgard_varèse	United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965)	0.5	12	8
n11234152	bn:00029767n	n	Piaf, Edith_Piaf, Edith_Giovanna_Gassion, Little_Sparrow	edith_piaf, édith_piaf, édith_giovanna_gassion	French cabaret singer (1915-1963)	0.239	12	8
n11016199	bn:00029817n	n	Grieg, Edvard_Grieg, Edvard_Hagerup_Grieg	edvard_grieg, grieg	Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)	0.44	12	8
n11147185	bn:00029840n	n	MacDowell, Edward_MacDowell	edward_alexander_macdowell, edward_macdowell	United States composer best remembered as a composer of works for the piano (1860-1908)	0.548	12	8
n10956134	bn:00030344n	n	Elgar, Sir_Edward_Elgar, Sir_Edward_William_Elgar	edward_elgar, elgar, sir_edward_elgar	British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)	0.463	12	8
n09735790	bn:00029883n	n	effendi	efendi, effendi	a former Turkish term of respect; especially for government officials	0.022	12	8
n05917869	bn:00072900n	n	sound_effect	effetti_audio, effetti_sonori, effetto_audio, effetto_del_suono, effetto_sonoro	an effect that imitates a sound called for in the script of a play	0.323	10	8
n11407048	bn:00029906n	n	Zimbalist, Efrem_Zimbalist	efrem_zimbalist, zimbalist	United States violinist (born in Russia) (1889-1985)	0.47	12	8
n10967152	bn:00029995n	n	Farrell, Eileen_Farrell	eileen_farrell	United States operatic soprano noted for the clarity and power of her voice (1920-2002)	0.692	13	9
n03279153	bn:00030254n	n	electronic_instrument, electronic_musical_instrument	elettrofoni_a_oscillatori, elettrofoni_analogici, strumenti_musicali_elettronici, strumento_elettrico, strumento_musicale_elettronico, strumenti_musicali_elettronici_analogici	a musical instrument that generates sounds electronically	0.507	12	8
n11246040	bn:00030444n	n	Presley, Elvis_Presley, Elvis_Aron_Presley	elvis_aaron_presley, elvis_presley, ginger_alden	United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)	0.377	13	9
n11066621	bn:00030846n	n	Humperdinck, Engelbert_Humperdinck	engelbert_humperdinck	German composer of six operas and other incidental music (1854-1921)	0.497	12	8
n06396330	bn:00031225n	n	episode	episodio	a brief section of a literary or dramatic work that forms part of a connected series	0.8	2	6
n07066042	bn:00048231n	n	swing, swing_music, jive	era_swing, swing_era, swing	a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz	0.791	4	7
n11282434	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	eric_satie, erik_satie, satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0.418	12	8
n10853413	bn:00011307n	n	Bloch, Ernest_Bloch	ernest_bloch	United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)	0.369	12	8
n11287437	bn:00031457n	n	Schumann-Heink, Ernestine_Schumann-Heink	ernestine_schumann-heink	United States operatic contralto (1861-1936)	0.361	13	9
n09830629	bn:00007806n	n	backpacker, packer	escursionista, saccopelista	a hiker who wears a backpack	0.167	11	7
n10340312	bn:00046975n	n	musician, instrumentalist, player	esecutore, musicista, musicisti, musico, orchestrale, sonatore, strumentalista, strumentista, suonatore	someone who plays a musical instrument (as a profession)	0.616	10	6
n00100253	bn:00056467n	n	musical_performance	esecuzione_muisicale	the act of performing music	1.0	11	9
n00271155	bn:00040447n	n	gig	esibizione	a booking for musicians	0.682	11	9
n10070711	bn:00032233n	n	exhibitionist, show-off	esibizionista	someone who deliberately behaves in such a way as to attract attention	0.429	11	7
n06692464	bn:00068382n	n	round	esplosione, salva, scoppio, scroscio	an outburst of applause	1.0	6	6
n06741993	bn:00032371n	n	exposition	esposizione	(music) the section of a movement (especially in sonata form) where the major musical themes first occur	0.971	2	6
n07029819	bn:00074034n	n	statement	esposizione	(music) the presentation of a musical theme	1.0	3	7
n15255439	bn:00048067n	n	Jazz_Age	età_del_jazz	the 1920s in the United States characterized in the novels of F. Scott Fitzgerald as a period of wealth, youthful exuberance, and carefree hedonism	0.347	9	7
n04419642	bn:00076846n	n	theremin	eterofono, teremin, theremenista, thereminista, thereminvox, theremin	an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing	0.504	13	9
n11176527	bn:00031696n	n	Merman, Ethel_Merman	ethel_merman	United States singer who appeared in several musical comedies (1909-1984)	0.202	12	8
n06851516	bn:00049558n	n	label, recording_label	etichetta_discografica	trade name of a company that produces musical recordings	0.663	9	7
n07043518	bn:00031755n	n	etude	etude, studio, étude	a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity	0.885	2	6
a00300738	bn:00102433a	a	euphonious, euphonous	eufonico	having a pleasant sound	1.0	99	99
n03301568	bn:00031852n	n	euphonium	eufonio, euphonium	a bass horn (brass wind instrument) that is the tenor of the tuba family	0.631	14	10
n11216797	bn:00031813n	n	Ormandy, Eugene_Ormandy	eugene_ormandy	United States conductor (born in Hungary) (1899-1985)	0.711	12	8
n00429713	bn:00031886n	n	eurythmy, eurhythmy, eurythmics, eurhythmics	euritmia	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding	0.5	9	7
n07051441	bn:00032692n	n	fado	fado	a sad Portuguese folksong	0.434	4	8
n09842716	bn:00008943n	n	bassoonist	fagottista	a musician who plays the bassoon	0.724	11	7
n03318707	bn:00032779n	n	fake_book	fake_book	a fake in the form of an imitation book; used to fill bookcases of people who wish to appear scholarly	0.673	14	10
n05127357	bn:00032878n	n	falsetto	falsetto, voce_di_testa	a male singing voice with artificially high tones in an upper register	0.766	10	8
n06856884	bn:00033628n	n	flourish, fanfare, tucket	fanfara	(music) a short lively tune played on brass instruments	0.533	2	6
n07044543	bn:00033644n	n	fantasia	fantasia_musicale, fantasia	a musical composition of a free form usually incorporating several familiar themes	0.896	2	6
n10042300	bn:00029543n	n	eater, feeder	feeder, mangiatore	someone who consumes food for nourishment	0.79	10	6
n11173917	bn:00033993n	n	Mendelssohn, Felix_Mendelssohn, Jakob_Ludwig_Felix_Mendelssohn-Bartholdy	felix_mendelssohn_bartholdy, felix_mendelssohn_bartoldy, felix_mendelssohn	German musician and romantic composer of orchestral and choral works (1809-1847)	0.42	12	8
n11135236	bn:00036276n	n	Liszt, Franz_Liszt	ferenc_liszt, franz_liszt, list_ferens	Hungarian composer and piano virtuoso (1811-1886)	0.446	12	8
n04536866	bn:00034250n	n	violin, fiddle	fiddle, violina, violino	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow	0.469	14	10
n03334492	bn:00034347n	n	fife	fiffaro, piffero	a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band	0.316	15	11
n08248856	bn:00061953n	n	symphony_orchestra, symphony, philharmonic	filarmonica, orchestra_sinfonica	a large orchestra; can perform symphonies	0.717	9	7
n03968728	bn:00063080n	n	plumb_bob, plumb, plummet	filo_a_piombo, piombino	the metal bob of a plumb line	0.107	11	7
n02672831	bn:00000732n	n	accordion, piano_accordion, squeeze_box	fisarmoniche, fisarmonicista, fisarmonica	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	0.454	13	9
n09761310	bn:00000734n	n	accordionist	fisarmonicista	a musician who plays the accordion	0.457	11	7
n07384898	bn:00034953n	n	hiss, hissing, hushing, fizzle, sibilation	fischiata, fischio, zittio	a fricative sound (especially as an expression of disapproval)	0.5	9	7
n03912218	bn:00061399n	n	pennywhistle, tin_whistle, whistle	fischietto, tin_whistle, zufolo	an inexpensive fipple flute	0.587	15	11
n06806098	bn:00081042n	n	whistle, whistling	fischio, sibilo	the act of signalling (e.g., summoning) by whistling or blowing a whistle	0.495	4	4
n03343354	bn:00034618n	n	fipple_flute, fipple_pipe, recorder, vertical_flute	flautino, flauto_a_becco, flauto_diritto, flauto_dolce, flauto, recorder	a tubular wind instrument with 8 finger holes and a fipple mouthpiece	0.499	14	10
n03884397	bn:00060368n	n	panpipe, pandean_pipe, syrinx	flauto_di_pan, siringa, serie_di_flauti_con_imboccatura_a_un'estremità	a primitive wind instrument consisting of several parallel pipes bound together	0.319	14	10
n07060167	bn:00031725n	n	folk_music, ethnic_music, folk	folk, musica_etnica, musica_folclorica, musica_folcloristica, musica_folklorica, musica_folk, musica_popolare, musica_tradizionale	the traditional and typically anonymous music that is an expression of the life of people in a community	0.61	3	6
n04064401	bn:00062042n	n	record_player, phonograph	fonografo, giradischi	machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically	0.223	12	8
n04077430	bn:00067213n	n	reproducer	fonoriproduttore, riproduttore	an audio system that can reproduce and amplify signals to produce sound	1.0	12	8
n05932282	bn:00072790n	n	sonata_form	forma-sonata, forma_sonata	a musical form having 3 sections -- exposition and development and recapitulation; characteristic of 1st movement of a sonata or symphony	0.859	12	10
n04990781	bn:00035984n	n	forte, fortissimo	forte, fortissimo	(music) loud	0.737	8	6
n11244419	bn:00036218n	n	Poulenc, Francis_Poulenc	francis_poulenc, poulenc	French pianist and composer (1899-1963)	0.584	12	8
n10913010	bn:00023267n	n	Couperin, Francois_Couperin	françois_couperin	French composer of music for organ and a member of a family of distinguished organists (1668-1733)	0.46	12	8
n11302062	bn:00036209n	n	Sinatra, Frank_Sinatra, Francis_Albert_Sinatra	frank_sinatra	United States singer and film actor (1915-1998)	0.348	11	7
n11035780	bn:00036272n	n	Haydn, Joseph_Haydn, Franz_Joseph_Haydn	franz_joseph_haydn, haydn, joseph_haydn	prolific Austrian composer who influenced the classical form of the symphony (1732-1809)	0.484	12	8
n11125080	bn:00036275n	n	Lehar, Franz_Lehar	franz_lehar, franz_lehàr, franz_lehár, ferenc_lehár	Hungarian composer of light operas (1870-1948)	0.326	12	8
n11286618	bn:00036277n	n	Schubert, Franz_Schubert, Franz_Peter_Schubert, Franz_Seraph_Peter_Schubert	franz_peter_schubert, franz_schubert	Austrian composer known for his compositions for voice and piano (1797-1828)	0.414	12	8
n07045353	bn:00056468n	n	phrase, musical_phrase	frase_musicale, fraseggio, frase	a short musical passage	0.657	3	7
n10929316	bn:00026059n	n	Delius, Frederick_Delius	frederick_delius, frederik_delius	English composer of orchestral works (1862-1934)	0.47	12	8
n11110791	bn:00036604n	n	Kreisler, Fritz_Kreisler	fritz_kreisler	United States violinist (born in Austria) (1875-1962)	0.478	12	8
n07294550	bn:00036688n	n	fruit	frutto, prodotto, resultato, risultato	the consequence of some effort or action	0.333	10	8
n07043675	bn:00036754n	n	fugue	fuga	a musical form consisting of a theme repeated a fifth above or a fourth below its first statement	0.784	3	6
n07063585	bn:00036872n	n	funk	funky, funk, musica_funk, p-funk	an earthy type of jazz combining it with blues and soul; has a heavy bass line that accentuates the first beat in the bar	0.839	4	7
n08248521	bn:00037205n	n	gamelan	gamelan	a traditional Indonesian ensemble typically including many tuned percussion instruments including bamboo xylophones and wooden or bronze chimes and gongs	0.529	9	7
n05128096	bn:00037233n	n	gamut	gamma	a complete extent or range: "a face that expressed a gamut of emotions"	1.0	9	7
n06857487	bn:00037234n	n	gamut	gamma, scala_musicale	the entire scale of musical notes	0.867	8	8
n06856568	bn:00056469n	n	scale, musical_scale	gamma, scala_musicale, scala	(music) a series of notes differing in pitch according to a specific scheme (usually within an octave)	0.76	7	7
v01880888	bn:00088272v	v	flap	garrire	move noisily	*1.0	99	99
n07055502	bn:00037537n	n	gavotte	gavotta, gavotte	music composed in quadruple time for dancing the gavotte	0.679	2	6
n07071942	bn:00037743n	n	music_genre, musical_genre, genre, musical_style	genere_musicale, generi_musicali, stili_musicali	an expressive style of music	0.825	1	4
n11027631	bn:00040194n	n	Handel, George_Frideric_Handel, George_Frederick_Handel, Georg_Friedrich_Handel	georg_friedrich_handel, handel, georg_friedrich_händel	a prolific British baroque composer (born in Germany) remembered best for his oratorio Messiah (1685-1759)	0.407	12	8
n11334925	bn:00040196n	n	Telemann, Georg_Philipp_Telemann	georg_philipp_telemann, telemann	German baroque composer (1681-1767)	0.462	12	8
n10959074	bn:00030832n	n	Enesco, Georges_Enesco, George_Enescu	george_enescu	Romanian violinist and composer (1881-1955)	0.495	12	8
n10996876	bn:00040214n	n	Gershwin, George_Gershwin	george_gershwin, jacob_gershowitz	United States composer who incorporated jazz into classical forms and composed scores for musical comedies (1898-1937)	0.457	12	8
n11031842	bn:00040218n	n	Harrison, George_Harrison	george_harrison	English rock star; lead guitarist of the Beatles (1943-2001)	0.594	13	9
n11327964	bn:00040236n	n	Szell, George_Szell	george_szell	United States conductor (born in Hungary) (1897-1970)	0.749	12	8
n10851865	bn:00010811n	n	Bizet, Georges_Bizet	georges_bizet	French composer best known for his operas (1838-1875)	0.444	12	8
n11120530	bn:00040320n	n	Lawrence, Gertrude_Lawrence	gertrude_lawrence	English actress (1898-1952)	0.115	12	8
n02795978	bn:00008699n	n	barrel_organ, grind_organ, hand_organ, hurdy_gurdy, hurdy-gurdy, street_organ	ghironda, hurdy_gurdy, hurdygurdy, organetto-di-barberia, organetto_di_barberia, organetto, organino, organo_a_rulli, organo_a_rullo	a musical instrument that makes music by rotation of a cylinder studded with pegs	0.343	12	8
n11177695	bn:00040379n	n	Meyerbeer, Giacomo_Meyerbeer, Jakob_Liebmann_Beer	giacomo_meyerbeer, meyerbeer	German composer of operas in a style that influenced Richard Wagner (1791-1864)	0.557	12	8
n11248077	bn:00040380n	n	Puccini, Giacomo_Puccini	giacomo_puccini, giacomo_antonio_domenico_michele_secondo_maria_puccini	Italian operatic composer noted for the dramatic realism of his operas (1858-1924)	0.337	12	8
