wn_synset	babelnet_id	pos	lemmata en	lemmata nl	definition	confidence	dist_from_music	dist_from_entity																	
wn:13977366n	bn:00021212n	n	disturbance, disruption, commotion, flutter, hurly_burly, to-do, hoo-ha, hoo-hah, kerfuffle	tumult, beroering, commotie, drukte, opschudding, herrie, consternatie, fermentatie, onrust, sensatie, keet, deining, hurly_burly, to-do, hoo-hah, hoo-ha	a disorderly outburst or tumult	0,8	7	5	YES																
wn:09946814n	bn:00021334n	n	compere	aankondiger	British term for someone who introduces television acts or cabarets etc	0,5	10	6	NO																
wn:05868954n	bn:00021394n	n	component, constituent, element, factor, ingredient	factor, element, uitvoerder, aspect, detail, fractie, component	an abstract part of something	0,699	10	8	NO																
wn:09947232n	bn:00021397n	n	composer	componist, toondichter, opsteller, maker, auteur, filmcomponist, componiste, toonzetter, componeren, toonkunstenaar, toonkunstenares, toondichteres	someone who composes music as a profession	0,789	11	7	YES																
wn:00939452n	bn:00021399n	n	composing, composition	componeren, compositie	musical creation	0,667	10	8	YES																
wn:07037465n	bn:00021408n	n	musical_composition, opus, composition, piece, piece_of_music	muziekstuk, compositie, compositiekunst, muziekstukken, muzikale_compositie, toonzetting, muzieknummer, compositieleer, stuk, opus, muziek_compositie	a musical work that has been created	0,596	1	5	YES																
wn:00950705n	bn:00021499n	n	computer_technology	computertechnologie	the activity of designing and constructing and programming computers	0,005	11	9	NO																
wn:06592078n	bn:00021548n	n	concept_album	concept_album, conceptalbum, concept_albums	an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional)	0,789	12	8	YES																
wn:06892775n	bn:00021559n	n	concert	concert, concerten, optreden, concertuitvoering, popconcert, muziekuitvoering, opvoeren, uitvoering, live_muziek, live_concert, tour, tournee, muziek_concert	a performance of music by players or singers not involving theatrical staging	0,489	9	7	YES																
wn:08249459n	bn:00021561n	n	concert_band, military_band	harmonieorkest, militaire_band, militair_orkest, blaasmuziek, militaire_muziek, blaaskapel, harmonisch_orkest, harmonie, blazersensemble, militaire_bands, blaasorkest, concert_band, symfonische_band	a group of musicians playing brass and woodwind and percussion instruments	0,471	9	7	YES																
wn:04985580n	bn:00021564n	n	concert_pitch, philharmonic_pitch, international_pitch	stemtoon, kamertoon, concert_toonhoogte, stemtoonhoogte, a-440, filharmonisch_toonhoogte, internationale_veld	"the pitch used to tune instruments for concert performances; usually assigns 440 Hz to the A above middle C"	0,548	8	6	YES																
wn:07024929n	bn:00021565n	n	polyphony, polyphonic_music, concerted_music	polyfonie, polyfone_muziek, meerstemmigheid, vierstemmig, polyfoon, polyfone, gecoördineerde_muziek	music arranged in parts for several voices or instruments	0,608	1	5	YES																
wn:03086670n	bn:00021567n	n	concertina	concertina	free-reed instrument played like an accordion by pushing its ends together to force air through the reeds	0,496	14	10	YES																
wn:07043275n	bn:00021568n	n	concerto	concert, concerto, concerten, concerti	a composition for orchestra and a soloist	0,93	3	6	YES																
wn:07043389n	bn:00021569n	n	concerto_grosso	concerto_grosso, concertino	a baroque composition for orchestra and a group of solo instruments	0,812	4	7	YES																
wn:01133760n	bn:00021674n	n	conducting	dirigent, dirigeren, uitvoeren, chef-dirigent, koordirigent, uitgevoerd	the direction of an orchestra or choir	0,786	9	7	YES																
wn:09952539n	bn:00021678n	n	conductor, music_director, director	dirigent, orkestdirectie, dirigeren, koordirigent, koordirectie	the person who leads a musical group	0,791	11	7	YES																
wn:05126228n	bn:00021756n	n	confines	grenzen	a bounded scope	0,5	9	7	NO																
wn:07055295n	bn:00021796n	n	conga	conga, conga's, tumbadora, conguero	music composed for dancing the conga	0,752	2	6	YES																
wn:08432149n	bn:00021798n	n	conga_line	polonaise, conga_lijn, conga	a line of people in single file performing the conga dance	0,596	8	6	YES																
wn:07492655n	bn:00022000n	n	consolation, solace, solacement	troost, soelaas, bemoediging	the comfort you feel when consoled in times of disappointment	0,01	9	7	NO																
wn:11115131n	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	constant_lambert, leonard_constant_lambert	English composer and conductor (1905-1951)	0,487	12	8	NO																
wn:03096439n	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	contrafagot, dubbele_fagot, contrafagotto	the bassoon that is the largest instrument in the oboe family	0,765	17	13	YES																
wn:09961198n	bn:00022251n	n	contralto	alt	a woman singer having a contralto voice	0,791	12	8	YES																
wn:09612580n	bn:00022252n	n	contrapuntist	contrapuntist	a composer who specializes in counterpoint	1	12	8	YES																
wn:05126362n	bn:00022265n	n	contrast		the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)	0,167	9	7	NO																
wn:13977732n	bn:00022403n	n	convulsion, turmoil, upheaval		a violent disturbance	1	8	6	NO																
wn:07063413n	bn:00022428n	n	cool_jazz	cool_jazz, cooljazz	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0,784	4	7	YES																
wn:03288742n	bn:00022546n	n	English_horn, cor_anglais	engelse_hoorn, althobo, cor_anglais, alt-hobo, engels_hoorn, engels_horn	a double-reed woodwind instrument similar to an oboe but lower in pitch	0,806	16	12	YES																
wn:10732010n	bn:00022752n	n	trumpeter, cornetist	trompettist, cornetist, trommelduif	a musician who plays the trumpet or cornet	0,507	11	7	YES																
wn:07294260n	bn:00022784n	n	corollary		a practical consequence that follows naturally	0,5	10	8	NO																
wn:07025419n	bn:00023212n	n	counterpoint	contrapunt, samenklank, contrapunctus, soort_contrapunt, contrapuntische	a musical form involving the simultaneous sound of two or more melodies	0,729	2	6	YES																
wn:09970295n	bn:00023225n	n	countertenor	contra-tenor, contratenor, countertenoren, countertenor, counter-tenor	a male singer with a voice above that of a tenor	0,725	13	9	YES																
wn:10913010n	bn:00023267n	n	Couperin, Francois_Couperin	francois_couperin, françois_couperin, couperin, couperin_familie	French composer of music for organ and a member of a family of distinguished organists (1668-1733)	0,46	12	8	NO																
wn:00526663n	bn:00023277n	n	courante	courante	"a court dance of the 16th century; consisted of short advances and retreats"	0,663	10	8	YES																
wn:03121698n	bn:00023352n	n	cover, cover_version, cover_song	cover, covers, coverversie, vertolking, cover_versie, cover_album, cover_version	a recording of a song that was first recorded or made popular by somebody else	0,871	13	9	YES																
wn:07381423n	bn:00023462n	n	crack, cracking, snap	gekraak	a sudden sharp noise	1	9	7	NO																
wn:00546738n	bn:00023495n	n	lullaby, cradlesong	wiegeliedje, slaapliedje	the act of singing a quiet song to lull a child to sleep	0,5	11	9	YES																
wn:07381864n	bn:00023631n	n	creak, creaking	kraken, krakende	a squeaking sound	1	9	7	YES																
wn:04990525n	bn:00023748n	n	crescendo	crescendo, aanzwellend, toenemend, dynamiek	(music) a gradual increase in loudness	0,734	8	6	YES																
wn:00547101n	bn:00023929n	n	crooning	croonen	singing in a soft low tone	1	11	9	YES																
wn:00546972n	bn:00023930n	n	crooning	croonen	the act of singing popular songs in a sentimental manner	0,767	11	9	YES																
wn:07032753n	bn:00024014n	n	crossover	crossover, crossover_hit, cross-over_muziek, klassieke_crossover	the appropriation of a new style (especially in popular music) by combining elements of different genres in order to appeal to a wider audience	0,862	10	8	YES																
wn:06871127n	bn:00024041n	n	quarter_note, crotchet	kwartnoot, quarter_note	a musical note having the time value of a quarter of a whole note	0,582	8	8	YES																
wn:03139887n	bn:00024095n	n	crown_saw	kroon_zag	a saw having teeth around the edge of a hollow cylinder	0,5	14	10	NO																
wn:07382414n	bn:00024135n	n	crunch		the sound of something crunching	1	9	7	NO																
wn:10917554n	bn:00024405n	n	Cunningham, Merce_Cunningham	merce_cunningham, mercier_philip_cunningham, cunningham	United States dancer and choreographer (born in 1922)	0,22	10	6	NO																
wn:07019396n	bn:00024538n	n	curtain_raiser	gordijn_raiser	a short play presented before the main play	0,167	9	7	NO																
wn:03152062n	bn:00024575n	n	cuspidation	cuspidation	a decoration using cusps	0,333	11	7	NO																
wn:06612865n	bn:00024606n	n	cut, track	track	a distinct selection of music from a recording or a compact disc	0,231	4	8	YES																
wn:09986450n	bn:00024793n	n	cymbalist	cymbalist	a performer on the cymbals	1	12	8	YES																
wn:10920366n	bn:00024934n	n	Czerny, Karl_Czerny	karl_czerny, carl_czerny, czerny	"Austrian virtuoso pianist and composer of many works for the piano; studied with Beethoven and was a teacher of Liszt (1791-1857)"	0,634	12	8	NO																
wn:10942473n	bn:00024937n	n	D'Oyly_Carte, Richard_D'Oyly_Carte	richard_d'oyly_carte, d'oyly_carte	English impresario who brought Gilbert and Sullivan together and produced many of their operettas in London (1844-1901)	0,462	14	10	NO																
wn:11325867n	bn:00025103n	n	Sutherland, Joan_Sutherland, Dame_Joan_Sutherland	joan_sutherland, sutherland, dame_joan_sutherland	Australian operatic soprano (born in 1926)	0,67	13	9	NO																
wn:11334773n	bn:00025104n	n	Te_Kanawa, Dame_Kiri_Te_Kanawa, Dame_Kiri_Janette_Te_Kanawa	kiri_te_kanawa, dame_kiri_te_kanawa, te_kanawa, dame_kiri_janette_te_kanawa	New Zealand operatic soprano (born in 1944)	0,585	13	9	NO																
wn:11048109n	bn:00025107n	n	Hess, Dame_Myra_Hess	dame_myra_hess	English pianist (1890-1965)	1	12	8	NO																
wn:11172045n	bn:00025108n	n	Melba, Dame_Nellie_Melba, Helen_Porter_Mitchell	nellie_melba, helen_porter_mitchell, dame_nellie_melba, melba	Australian operatic soprano (1861-1931)	0,477	14	10	NO																
wn:07054433n	bn:00025149n	n	dance_music	dansmuziek, dancemuziek, dansorkest, dance	music to dance to	0,899	1	5	YES																
wn:00542149n	bn:00025150n	n	danse_macabre, dance_of_death	dodendans, danse_macabre, dance_of_death, the_dance_of_death, totentanz	a medieval dance in which a skeleton representing death leads a procession of others to the grave	0,235	11	9	YES																
wn:11179124n	bn:00025231n	n	Milhaud, Darius_Milhaud	darius_milhaud, milhaud	French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)	0,409	12	8	NO																
wn:03195959n	bn:00025313n	n	digital_audiotape, DAT	dat, digitale_audiotape	a digital tape recording of sound	1	15	11	YES																
wn:10924828n	bn:00025400n	n	Davis, Miles_Davis, Miles_Dewey_Davis_Jr.	miles_davis, miles_dewey_davis_iii, mijlen_dewey_davis_jr, mijlen_davis	"United States jazz musician; noted for his trumpet style (1926-1991)"	0,649	12	8	NO																
wn:07059028n	bn:00025518n	n	funeral_march, dead_march	dodenmars, treurmars, begrafenismars	a slow march to be played for funeral processions	0,744	4	7	YES																
wn:04991225n	bn:00025785n	n	decrescendo, diminuendo	diminuendo, decrescendo, dynamiek	(music) a gradual decrease in loudness	0,737	8	6	YES																
wn:11333601n	bn:00025809n	n	Taylor, Deems_Taylor, Joseph_Deems_Taylor	deems_taylor, joseph_deems_taylor	United States composer and music critic (1885-1966)	0,392	12	8	NO																
wn:10929316n	bn:00026059n	n	Delius, Frederick_Delius	frederick_delius, delius	English composer of orchestral works (1862-1934)	0,47	12	8	NO																
wn:03177059n	bn:00026347n	n	departure_lounge	vertrekhal	lounge where passengers can await departure	0,5	13	9	NO																
wn:07032026n	bn:00026485n	n	descant, discant	discant, Discantus	a decorative musical accompaniment (often improvised) added above a basic melody	0,75	4	8	YES																
wn:07068631n	bn:00026702n	n	development	verwerking, ontwikkeling, musical_development, muzikale_ontwikkeling	(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	0,843	2	6	YES																
wn:13416241n	bn:00026742n	n	devise		a will disposing of real property	0,5	8	8	NO																
wn:10010864n	bn:00026756n	n	devourer	verslinder	someone who eats greedily or voraciously	0,5	11	7	NO																
wn:10933449n	bn:00026803n	n	Diaghilev, Sergei_Diaghilev, Sergei_Pavlovich_Diaghilev	diaghilev, sergei_diaghilev, sergej_diaghilev, sergej_djagilev, serge_diaghilev, sergej_pawlowitsch_djagilew, serge_de_diaghilev, serge_djagilev, sergei_pavlovich_diaghilev	Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)	0,35	14	10	NO																
wn:15250468n	bn:00026852n	n	diamond_jubilee	diamanten_jubileum, diamond_jubilee	an anniversary celebrating the passage of 60 years	0,5	11	9	NO																
wn:06860323n	bn:00026903n	n	diatonic_scale	diatonische_toonladder, diatoniek, diatonisch, ladder, scala, schaal, toonladder, toonschaal, gamma, diatonische_schaal	"a scale with eight notes in an octave; all but two are separated by whole tones"	0,645	8	8	YES																
wn:07036546n	bn:00027001n	n	Dies_Irae	dies_irae	the first words of a medieval Latin hymn describing the Last Judgment (literally `day of wrath')	0,522	5	8	YES																
wn:07030549n	bn:00027160n	n	diminution	diminutie, vermindering	the statement of a theme in notes of lesser duration (usually half the length of the original)	0,852	4	8	YES																
wn:10013242n	bn:00027185n	n	diner	eter	a person eating a meal (especially in a restaurant)	0,5	11	7	NO																
wn:07383616n	bn:00027189n	n	ding-dong	ding-dong	the noise made by a bell	1	9	7	YES																
wn:14498567n	bn:00027191n	n	dinginess, dinge	dinginess, dinge	discoloration due to dirtiness	0,5	9	7	NO																
wn:10687826n	bn:00027200n	n	tablemate, dining_companion	eetgezel, tablemate	someone you dine with	0,5	12	8	NO																
wn:14498096n	bn:00027387n	n	dirt, filth, grime, soil, stain, grease, grunge	vuil, afval, viezigheid, grunge, derrie, smurrie, vet, vuiligheid, bodem, grunge_rock, grunge_muziek	the state of being covered with unclean things	0,729	9	7	NO																
wn:14497763n	bn:00027392n	n	dirtiness, uncleanness	onreinheid	the state of being unsanitary	0,05	8	6	NO																
wn:03924069n	bn:00027454n	n	phonograph_record, phonograph_recording, record, disk, disc, platter	"grammofoonplaat, 78-toeren, grammofoonplaten, plaat, discus, draaischijf, bescheiden, papieren, plaatje, single, vinylplaten, 7"", 7""_vinyl, akoestische_opname, vinyl_single, 78_toeren, 7-inch_single, 7_inch, record, vinyl_schijf, 7_single, fonograaf_opname, 78-toerenplaten, 7_vinyl, 7-inch, 78_toeren_plaat, schijf, 78s, 45rpm, vinyl_album"	"sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove"	0,424	14	10	YES																
wn:10017272n	bn:00027461n	n	disk_jockey, disc_jockey, dj	diskjockey, disc_jockey, dj, disk_jockey, deejay, diskjockeys, disk-jockey, discjockey, djane, radiodeejay, live_dj, radio-diskjockey, radio-dj, jock, live-dj, disc_jockeys, disc-jockey, radio_deejay, selector, deejaying, deejays	a person who announces and plays popular recorded music	0,572	10	6	YES																
wn:07059626n	bn:00027490n	n	disco, disco_music	disco, danspop, disco_muziek, discomuziek, disco_tijdperk	"popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques"	0,739	3	6	YES																
wn:05720248n	bn:00027739n	n	noise, dissonance, racket	dissonant, herrie, ruis, wanklank, lawaai	"the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience"	1	11	9	YES																
wn:10018653n	bn:00027763n	n	distiller	distillateur	someone who distills alcoholic liquors	0,25	11	7	NO																
wn:11511765n	bn:00027778n	n	distortion	distortion, sneeuw, overstuurd, overstuurde, vervorming, distortion_pedaal, fuzz_gitaar, overdrive, fuzzbox	"a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal)"	0,495	11	7	YES																
wn:07239428n	bn:00027834n	n	dithyramb		a wildly enthusiastic speech or piece of writing	0	5	5	NO																
wn:07050503n	bn:00027837n	n	ditty	deuntje	a short simple song (or the words of a poem intended to be sung)	0,667	3	7	YES																
wn:10471732n	bn:00027843n	n	prima_donna, diva	diva, prima_donna, primadonna_assoluta, primadonna, prima_donna_assoluta, divas, diva's	"a distinguished female operatic singer; a female operatic star"	0,605	13	9	YES																
wn:07042586n	bn:00027873n	n	divertimento, serenade	divertimento, serenade, divertimenti, zanghulde, serenata	"a musical composition in several movements; has no fixed form"	0,713	2	6	YES																
wn:11000012n	bn:00027952n	n	Gillespie, Dizzy_Gillespie, John_Birks_Gillespie	dizzy_gillespie, john_birks_gillespie, gillespie	United States jazz trumpeter and exponent of bebop (1917-1993)	0,674	12	8	NO																
wn:11299030n	bn:00027958n	n	Shostakovich, Dmitri_Shostakovich, Dmitri_Dmitrievich_Shostakovich	dmitri_shostakovich, shostakovich, sjostakovitsj, dmitri_sjostakovitsj, schostakovitsch, schostakovitch, chostakovich, sjostakowitsj, shostakovits, dmitri_dmitrievich_shostakovich	Russian composer best known for his fifteen symphonies (1906-1975)	0,449	12	8	NO																
wn:10938199n	bn:00028180n	n	Domingo, Placido_Domingo	placido_domingo, plácido_domingo, domingo	Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)	0,508	13	9	NO																
wn:10939360n	bn:00028226n	n	Donizetti, Gaetano_Donizetti	gaetano_donizetti, donizetti	Italian composer of operas (1797-1848)	0,483	12	8	NO																
wn:07061677n	bn:00028239n	n	doo-wop	doo-wop, doowop, doo_wop	"a genre (usually a cappella) of Black vocal-harmony music of the 1950s that evolved in New York City from gospel singing; characterized by close four-part harmonies; the name derived from some of the nonsense syllables sung by the backup"	0,751	5	8	YES																
wn:10221040n	bn:00028286n	n	jerk, dork	sukkel, sufferd, koe, ezelsveulen, lul, stomkop, minkukel, uilenbal, gehaktbal, rund, slaapkop, kuiken, sufkont, kloris, stommerik, sufkop, ignorant, nitwit, ei, stommeling, waterhoofd, leeghoofd, ezel, hansworst, dombo, drol, eendvogel, ezelskop, oetlul, oelewapper, druiloor, uilskuiken, weetniet, flapdrol, oen, uil, appelflap, kwezel, piemel, stommerd, schaapskop, kalf, domoor, uilebal, eikel, hals, kalfskop, dodo, eend, augurk, droplul, onbenul, dork	a dull stupid fatuous person	0,5	10	6	NO																
wn:06864900n	bn:00028361n	n	double_bar	dubbele_maatstreep	"notation marking the end of principal parts of a musical composition; two adjacent bar lines"	0,746	7	7	YES																
wn:11190024n	bn:00028442n	n	Moore, Douglas_Moore	douglas_moore, douglas_stuart_moore, douglas_s._moore, moore	United States composer of works noted for their use of the American vernacular (1893-1969)	0,303	12	8	NO																
wn:10941992n	bn:00028468n	n	Dowland, John_Dowland	john_dowland, dowland	English lutenist and composer of songs for the lute (1563-1626)	0,477	12	8	NO																
wn:07086972n	bn:00028479n	n	downbeat	thesis, downbeat	the first beat of a musical measure (as the conductor's arm moves downward)	1	8	6	YES																
wn:07007684n	bn:00028610n	n	dramatic_composition, dramatic_work	dramatische_samenstelling, dramatisch_werk	a play for performance on the stage or television or in a movie etc.	0,06	5	5	NO																
wn:00897365n	bn:00028686n	n	dress_rehearsal	generale_repetitie, grote_repetitie	a full uninterrupted rehearsal in costumes shortly before the first performance	0,283	11	9	NO																
wn:07050827n	bn:00028757n	n	drinking_song	drinklied, drinkliederen	"a song celebrating the joys of drinking; sung at drinking parties"	0,595	3	7	YES																
wn:10036574n	bn:00028896n	n	drum_major	tamboer-maître, tambour-maître, tamboer-maitre, tamboer-majoor, tambour-maitre, drum_major, trommel_grote	the leader of a marching band or drum corps	0,318	12	8	YES																
wn:10036692n	bn:00028898n	n	drum_majorette, majorette	majorette, majorettes	a female drum major	0,163	12	8	YES																
wn:07388816n	bn:00028900n	n	paradiddle, roll, drum_roll	tromgeroffel, tromroffel, paradiddle, roffel, rudiments, rudiment	the sound of a drum (especially a snare drum) beaten rapidly and continuously	0,647	8	6	YES																
wn:07392373n	bn:00028902n	n	rub-a-dub, rataplan, drumbeat	rataplan, drumpatroon, trommelen, drum_beat	the sound made by beating a drum	0,868	8	6	YES																
wn:10036929n	bn:00028909n	n	drummer	drummer, drumspeler, slagwerker, tamboer, trommelslager, trommelaar, drummers	someone who plays a drum	0,503	12	8	YES																
wn:00897026n	bn:00028948n	n	rehearsal, dry_run	repetitie, dry_run	a practice session in preparation for a public performance (as of a play or speech or concert)	0,306	10	8	YES																
wn:05720521n	bn:00028992n	n	dub	dub, dub_reggae, dub_muziek	the new sounds added by dubbing	0,835	11	9	YES																
wn:08247021n	bn:00029058n	n	duet, duette, duo	duet	two performers or singers who perform together	0,667	8	6	YES																
wn:07041451n	bn:00029059n	n	duet, duette, duo	duet, duo, quatre-mains	a musical composition for two performers	0,827	2	6	YES																
wn:10944593n	bn:00029073n	n	Dukas, Paul_Dukas	paul_dukas, paul_abraham_dukas, dukas	French composer (1865-1935)	0,49	12	8	NO																
wn:10958010n	bn:00029076n	n	Ellington, Duke_Ellington, Edward_Kennedy_Ellington	duke_ellington, edward_kennedy_ellington, ellington	United States jazz composer and piano player and bandleader (1899-1974)	0,55	12	8	NO																
wn:10040049n	bn:00029133n	n	dunker		an eater who dips food into a liquid before eating it	0,333	11	7	NO																
wn:14498733n	bn:00029208n	n	dustiness	stoffigheid	the state of being covered with dust	0,333	9	7	NO																
wn:04635482n	bn:00029299n	n	dynamism, pizzazz, pizzaz, oomph, zing	pizzaz, pizzazz	the activeness of an energetic personality	0,333	7	5	NO																
wn:13977870n	bn:00029449n	n	earthquake		a disturbance that is extremely disruptive	1	8	6	NO																
wn:10042300n	bn:00029543n	n	eater, feeder	feeder, eter	someone who consumes food for nourishment	0,79	10	6	NO																
wn:11360534n	bn:00029743n	n	Varese, Edgar_Varese	edgard_varèse, varese, edgard_varese, edgar_varese, edgar_victor_achille_charles_varese, edgar_victor_achille_charles_varèse, edgar_varèse	United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965)	0,5	12	8	NO																
wn:11234152n	bn:00029767n	n	Piaf, Edith_Piaf, Edith_Giovanna_Gassion, Little_Sparrow	edith_piaf, édith_piaf, edith_giovanna_gassion, édith_giovanna_gassion, little_sparrow, piaf	French cabaret singer (1915-1963)	0,239	12	8	NO																
wn:11016199n	bn:00029817n	n	Grieg, Edvard_Grieg, Edvard_Hagerup_Grieg	grieg, edvard_grieg, edvard_hagerup_grieg, edward_grieg, edvard_grieg_hagerup	Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)	0,44	12	8	NO																
wn:11147185n	bn:00029840n	n	MacDowell, Edward_MacDowell	edward_macdowell, macdowell, edward_alexander_macdowell	United States composer best remembered as a composer of works for the piano (1860-1908)	0,548	12	8	NO																
wn:09735790n	bn:00029883n	n	effendi	effendi, efendi	"a former Turkish term of respect; especially for government officials"	0,022	12	8	NO																
wn:11407048n	bn:00029906n	n	Zimbalist, Efrem_Zimbalist	efrem_zimbalist, zimbalist, _____________________________	United States violinist (born in Russia) (1889-1985)	0,47	12	8	NO																
wn:00540396n	bn:00029994n	n	eightsome	eightsome	a Scottish reel for eight dancers	1	15	13	YES																
wn:10967152n	bn:00029995n	n	Farrell, Eileen_Farrell	eileen_farrell	United States operatic soprano noted for the clarity and power of her voice (1920-2002)	0,692	13	9	NO																
wn:03272010n	bn:00030148n	n	electric_guitar	elektrische_gitaar, electrische_gitaar, elektrisch_gitaar, dubbelhals, dubbelnek, gitaar_met_dubbele_nek, elektrische_gitaren	a guitar whose sound is amplified by electrical means	0,641	14	10	YES																
wn:03273551n	bn:00030157n	n	electric_organ, electronic_organ, Hammond_organ, organ	elektronisch_orgel, hammond_orgel, hammondorgel, elektronicum, hammond-orgel, electronicum, hammondinstrument, orgel, electronisch_orgel, b3_orgel, thuis_orgel, hammond_b3_orgel, hammond_b-3_orgel, elektrisch_orgel	(music) an electronic simulation of a pipe organ	0,529	13	9	YES																
wn:03279153n	bn:00030254n	n	electronic_instrument, electronic_musical_instrument	elektronisch_muziekinstrument, elektronisch_instrument, elektronische_instrumenten, elektronische_muziekinstrumenten	a musical instrument that generates sounds electronically	0,507	12	8	YES																
wn:10956134n	bn:00030344n	n	Elgar, Sir_Edward_Elgar, Sir_Edward_William_Elgar	sir_edward_elgar, elgar, edward_elgar, adelger, sir_edward_william_elgar	British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)	0,463	12	8	NO																
wn:10971981n	bn:00030400n	n	Fitzgerald, Ella_Fitzgerald	ella_fitzgerald	United States scat singer (1917-1996)	1	12	8	NO																
wn:11246040n	bn:00030444n	n	Presley, Elvis_Presley, Elvis_Aron_Presley	elvis_presley, ginger_alden, elvis_presley_''king_of_rock_&_roll'', the_king_of_rock_'n'_roll, elvis_aaron_presley, king_of_rock_'n'_roll, elvis_aron_presley, presley, elvis	United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)	0,377	13	9	NO																
wn:03282401n	bn:00030473n	n	embellishment	ornament	a superfluous ornament	0,714	10	6	NO																
wn:10299250n	bn:00030515n	n	master_of_ceremonies, emcee, host	ceremoniemeester, gastheer, master_of_ceremonies, emcee, master_of_ceremony, mc'ing, gastvrouw, moderator, gastgever, emcees, host	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0,252	9	5	NO																
wn:00099439n	bn:00030701n	n	encore	toegift, encore, volksrepubliek_donetsk	"an extra or repeated performance; usually given in response to audience demand"	0,667	13	11	YES																
wn:10959074n	bn:00030832n	n	Enesco, Georges_Enesco, George_Enescu	george_enescu, georges_enesco, georges_enescu, enesco	Romanian violinist and composer (1881-1955)	0,495	12	8	NO																
wn:11066621n	bn:00030846n	n	Humperdinck, Engelbert_Humperdinck	engelbert_humperdinck, humperdinck	German composer of six operas and other incidental music (1854-1921)	0,497	12	8	NO																
wn:00949619n	bn:00030858n	n	technology, engineering	technologie, techniek, geluidstechnicus, audio_engineering, audio_engineer, audio-editor, engineering, studio_engineer, technische, geluid_operator, geluidstechniek, opnametechnicus	the practical application of science to commerce or industry	0,572	10	8	NO																
wn:07043026n	bn:00030910n	n	enigma_canon, enigmatic_canon, enigmatical_canon, riddle_canon	raadselachtige_canon, enigma_canon, raadsel_canon, raadselachtig_canon, raadselcanon	a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries)	0,699	3	7	YES																
wn:08188235n	bn:00030961n	n	ensemble	ensemble	a group of musicians playing or singing together	0,875	8	6	YES																
wn:06396330n	bn:00031225n	n	episode	gebeuren, episode	a brief section of a literary or dramatic work that forms part of a connected series	0,8	2	6	YES																
wn:10074339n	bn:00031355n	n	exterminator, terminator, eradicator	verdelger, ongediertebestrijder, marcus_wright, eradicator, terminator	someone who exterminates (especially someone whose occupation is the extermination of troublesome rodents and insects)	0,019	9	5	NO																
wn:11282434n	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	erik_satie, satie, eric_satie, erik_alfred_leslie_satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0,418	12	8	NO																
wn:11287437n	bn:00031457n	n	Schumann-Heink, Ernestine_Schumann-Heink	ernestine_schumann-heink, schumann-heink	United States operatic contralto (1861-1936)	0,361	13	9	NO																
wn:10063461n	bn:00031573n	n	escort		an attendant who is employed to accompany someone	0,2	11	7	NO																
wn:11176527n	bn:00031696n	n	Merman, Ethel_Merman	ethel_merman	United States singer who appeared in several musical comedies (1909-1984)	0,202	12	8	NO																
wn:07060167n	bn:00031725n	n	folk_music, ethnic_music, folk	etnische_muziek, volksmuziek, folk, deun, traditionele_muziek, folk-music, wereldmuziek, folk-muziek, folkmuziek, pagan_folk, volksliederen, folk_band, tune, akoestische_folk, folk-song, pop_folk, folk_muziek, folk_muzikant, folk_groep	the traditional and typically anonymous music that is an expression of the life of people in a community	0,61	3	6	YES																
wn:07043518n	bn:00031755n	n	etude	etude, etudes	"a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity"	0,885	2	6	YES																
wn:11216797n	bn:00031813n	n	Ormandy, Eugene_Ormandy	eugene_ormandy, ormandy	United States conductor (born in Hungary) (1899-1985)	0,711	12	8	NO																
wn:03301568n	bn:00031852n	n	euphonium	euphonium, eufonium, tenortuba, eufonium/euphonium, euphoniums	a bass horn (brass wind instrument) that is the tenor of the tuba family	0,631	14	10	YES																
wn:05718556n	bn:00031853n	n	music, euphony	muziek, welluidendheid, eufonie	any agreeable (pleasing and harmonious) sounds	0,8	11	9	YES																
