wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:04077430n	bn:00067213n	n	reproducer	reproductor	an audio system that can reproduce and amplify signals to produce sound	1.0	12	8	YES
wn:01042661n	bn:00067256n	n	Requiem	réquiem	a Mass celebrated for the dead	0.591	11	9	NO
wn:07033913n	bn:00067255n	n	Requiem	requiem, réquiem	a musical setting for a Mass celebrating the dead	0.855	4	7	YES
wn:07028221n	bn:00067343n	n	resolution	resolución	(music) a dissonant chord is followed by a consonant chord	0.833	2	6	YES
wn:04988258n	bn:00067347n	n	resonance	resonancia, reverberación	the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities	0.125	8	6	YES
wn:02179372v	bn:00084960v	v	chug	resoplar	make a dull, explosive sound	0.5	99	99	YES
wn:01237398v	bn:00085036v	v	clap	restallido	strike together so as to produce a sharp percussive noise	1.0	99	99	YES
wn:07388706n	bn:00060422n	n	pant	resuello	the noise made by a short puff of steam (as from an engine)	0.333	9	7	YES
wn:06804388n	bn:00066477n	n	recall	retirada	a bugle call that signals troops to return	0.0	5	5	NO
wn:00051077n	bn:00020898n	n	comeback	retorno, reaparición	return by a celebrity to some previously successful activity	0.152	11	9	YES
wn:02771004n	bn:00007821n	n	backspace_key, backspace, backspacer	retroceso, tecla_de_retroceso	the typewriter key used for back spacing	0.495	14	10	NO
wn:02187320v	bn:00089096v	v	rumble, grumble	retumbar	make a low noise	1.0	99	99	YES
wn:13978166n	bn:00073466n	n	stir, splash	revuelo, agitación	a prominent or sensational but short-lived news event	0.333	8	6	NO
wn:07048782n	bn:00004716n	n	antiphony	rezo_cantado, antífona, antifonía	alternate (responsive) singing by a choir in two parts	0.6	1	5	YES
wn:07064315n	bn:00065774n	n	rhythm_and_blues, R_and_B	rhythm&blues, rhythm_&_blues, rhythm_and_blues	a combination of blues and jazz that was developed in the United States by Black musicians; an important precursor of rock 'n' roll	0.784	3	6	YES
wn:10942473n	bn:00024937n	n	D'Oyly_Carte, Richard_D'Oyly_Carte	richard_d'oyly_carte	English impresario who brought Gilbert and Sullivan together and produced many of their operettas in London (1844-1901)	0.462	14	10	NO
wn:11321647n	bn:00067736n	n	Strauss, Richard_Strauss	richard_georg_strauss, richard_strauss, strauss	German composer of many operas; collaborated with librettist Hugo von Hoffmannsthal to produce several operas (1864-1949)	0.434	12	8	NO
wn:11267745n	bn:00067733n	n	Rodgers, Richard_Rodgers	richard_rodgers, richard_rogers, rodgers	United States composer of musical comedies (especially in collaboration with Oscar Hammerstein II and with Lorenz Hart) (1902-1979)	0.354	12	8	NO
wn:11313726n	bn:00067735n	n	Starr, Ringo_Starr, Starkey, Richard_Starkey	richard_starkey, ringo_starr	rock star and drummer for the Beatles (born in 1940)	0.58	13	9	NO
wn:11369834n	bn:00067739n	n	Wagner, Richard_Wagner, Wilhelm_Richard_Wagner	richard_wagner, wagner, wilhelm_richard_wagner	German composer of operas and inventor of the musical drama in which drama and spectacle and music are fused (1813-1883)	0.31	12	8	NO
wn:07045788n	bn:00067782n	n	riff	rifeo, riff	a jazz ostinato; usually provides a background for a solo improvisation	0.871	5	9	YES
wn:07086861n	bn:00007760n	n	backbeat	ritmo de fondo	a loud steady beat	0.805	8	6	YES
wn:07057385n	bn:00075706n	n	syncopation	ritmo_sincopado, síncopa, sincopación, melodía_sincopada	music (especially dance music) that has a syncopated rhythm	0.755	1	5	YES
wn:11287016n	bn:00068019n	n	Schumann, Robert_Schumann, Robert_Alexander_Schumann	robert_alexander_schumann, robert_schumann, schumann	German romantic composer known for piano music and songs (1810-1856)	0.429	12	8	NO
wn:07065562n	bn:00000912n	n	psychedelic_rock, acid_rock	rock_ácido, blues_ácido, pop_psicodélico, rock_psicodélico	a musical style that emerged in the 1960s; rock music inspired by or related to drug-induced experience	0.797	4	7	YES
wn:07065333n	bn:00005947n	n	progressive_rock, art_rock	rock_experimental, rock_progresivo, prog_rock	a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing	0.833	4	7	YES
wn:07064537n	bn:00068078n	n	rockabilly	rockabilly, rockers	a fusion of black music and country music that was popular in the 1950s; sometimes described as blues with a country beat	0.712	3	6	YES
wn:10535706n	bn:00068080n	n	rocker	rocker	a teenager or young adult in the 1960s who wore leather jackets and rode motorcycles	0.165	10	6	NO
wn:10535881n	bn:00068050n	n	rocker, rock_'n'_roll_musician	rockero	a performer or composer or fan of rock music	1.0	11	7	YES
wn:07064715n	bn:00068049n	n	rock_'n'_roll, rock'n'roll, rock-and-roll, rock_and_roll, rock, rock_music	rock'n'roll, rock-and-roll, rock_&_roll, rock, música_rock	a genre of popular music originating in the 1950s; a blend of black rhythm-and-blues with white country-and-western	0.803	3	6	YES
wn:11293805n	bn:00068122n	n	Sessions, Roger_Sessions, Roger_Huntington_Sessions	roger_huntington_sessions, roger_sessions	United States composer who promoted 20th century music (1896-1985)	0.386	12	8	NO
wn:06692464n	bn:00068382n	n	round	ronda	an outburst of applause	1.0	6	6	YES
wn:07053089n	bn:00068381n	n	round, troll	ronda, troll	a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time	0.698	4	8	YES
wn:06380879n	bn:00068217n	n	rondeau, rondel	rondel	a French verse form of 10 or 13 lines running on two rhymes; the opening phrase is repeated as the refrain of the second and third stanzas	0.336	7	7	NO
wn:07043968n	bn:00068216n	n	rondo, rondeau	rondo, rondó	a musical form that is often the last movement of a sonata	0.747	3	6	YES
wn:07394478n	bn:00072445n	n	snore	ronquido	the rattling noise produced when snoring	1.0	9	7	NO
wn:06857591n	bn:00068369n	n	roulade	roulade	(music) an elaborate run of several notes sung to one syllable	0.875	2	6	YES
wn:11216100n	bn:00059280n	n	Orbison, Roy_Orbison	roy_kelton_orbison, roy_orbison	United States composer and rockabilly tenor popular in the 1950s (1936-1988)	0.546	12	8	NO
wn:13257982n	bn:00068452n	n	royalty	royalties, derechos_de_autor, regalía	payment to the holder of a patent or copyright or resource for the right to use their property	0.183	10	8	YES
wn:07392373n	bn:00028902n	n	rub-a-dub, rataplan, drumbeat	rub-a-dub, rataplán	the sound made by beating a drum	0.868	8	6	YES
wn:15265423n	bn:00068456n	n	rubato	rubato, tempo_rubato	a flexible tempo; not strictly on the beat	0.879	8	6	YES
wn:11293334n	bn:00068500n	n	Serkin, Rudolf_Serkin	rudolf_serkin	United States concert pianist (born in Czechoslovakia) (1903-1991)	0.551	12	8	NO
wn:07056764n	bn:00067670n	n	rumba, rhumba	rumba_criolla, rumba	syncopated music in duple time for dancing the rumba	0.729	2	6	YES
wn:04123123n	bn:00068737n	n	sackbut	sacabuche	a medieval musical instrument resembling a trombone	0.719	15	11	YES
wn:10487363n	bn:00064967n	n	psalmist	salmista	a composer of sacred songs	0.173	12	8	YES
wn:01255549n	bn:00045466n	n	psalmody, hymnody	salmodia	the act of singing psalms or hymns	0.189	11	9	YES
wn:07050042n	bn:00017701n	n	chantey, chanty, sea_chantey, shanty	saloma	a rhythmical work song originally sung by sailors	0.402	4	8	YES
wn:07056895n	bn:00069055n	n	samba	samba	music composed for dancing the samba	0.479	2	6	YES
wn:04132603n	bn:00069066n	n	samisen, shamisen	samisen, shamisen	a Japanese stringed instrument resembling a banjo with a long neck and three strings and a fretted fingerboard and a rectangular soundbox; played with a plectrum	0.332	13	9	YES
wn:11361423n	bn:00069252n	n	Vaughan, Sarah_Vaughan	sarah_lois_vaughan, sarah_vaughan, sarah_vaughn	United States jazz singer noted for her complex bebop phrasing and scat singing (1924-1990)	0.655	12	8	NO
wn:11511765n	bn:00027778n	n	distortion	saturación	a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal)	0.495	11	7	YES
wn:10701962n	bn:00076538n	n	tenor_saxophonist, tenorist	saxo_tenor, saxofón_tenor	a musician who plays the tenor saxophone	0.773	12	8	YES
wn:10554243n	bn:00069434n	n	saxophonist, saxist	saxofonista, saxo, saxofón, saxófono	a musician who plays the saxophone	0.653	11	7	YES
wn:00547244n	bn:00069530n	n	scat, scat_singing	scat	singing jazz; the singer substitutes nonsense syllables for the words of the song and tries to sound like a musical instrument	0.768	4	7	YES
wn:07046917n	bn:00069583n	n	scherzo	scherzo	a fast movement (usually in triple time)	0.83	3	7	YES
wn:11091374n	bn:00048411n	n	Joplin, Scott_Joplin	scott_joplin	United States composer who was the first creator of ragtime to write down his compositions (1868-1917)	0.458	12	8	NO
wn:08216900n	bn:00070196n	n	section	sección	a division of an orchestra containing all instruments of the same class	0.875	8	6	YES
wn:08217302n	bn:00074692n	n	string_section, strings	sección_de_cuerda, sección_de_cuerdas	the section of an orchestra that plays stringed instruments	0.389	9	7	YES
wn:08217135n	bn:00012792n	n	brass_section, brass	sección_de_metal	the section of a band or orchestra that plays brass instruments	1.0	9	7	YES
wn:08217738n	bn:00078470n	n	trumpet_section	sección_de_trompeta	the section of a band or orchestra that plays trumpets or cornets	1.0	10	8	YES
wn:08217865n	bn:00066761n	n	reed_section	sección_de_viento	the section of a band or orchestra that plays reed instruments	1.0	9	7	YES
wn:08217450n	bn:00080041n	n	violin_section	sección_de_violín	the section of an orchestra that plays violins	1.0	10	8	YES
wn:06392787n	bn:00073584n	n	sports_section	sección_deportiva	the section of a newspaper that reports on sports	0.5	2	6	NO
wn:07031401n	bn:00070157n	n	secondo	secondo	the second or lower part of a duet (especially a piano duet)	1.0	3	7	YES
wn:07294699n	bn:00070572n	n	sequella	secuela	a secondary consequence	1.0	10	8	NO
wn:01016436a	bn:00110242a	a	second	segundo	a part or voice or instrument or orchestra section lower in pitch than or subordinate to the first	1.0	99	99	YES
wn:11219502n	bn:00060039n	n	Ozawa, Seiji_Ozawa	seiji_ozawa	United States conductor (born in Japan in 1935)	0.553	12	8	NO
wn:08247935n	bn:00070557n	n	septet, septette	septeto	seven performers or singers who perform together	1.0	8	6	YES
wn:07042023n	bn:00070560n	n	septet, septette	septeto	a musical composition written for seven performers	0.828	2	6	YES
wn:07053732n	bn:00070585n	n	serenade	serenata	a song characteristically played outside the house of a woman	0.333	3	7	YES
wn:07342383n	bn:00070576n	n	sequence	serie, sucesión	several repetitions of a melodic phrase in different keys	0.901	9	7	YES
wn:08247816n	bn:00070692n	n	sextet, sextette, sestet	sexteto	six performers or singers who perform together	1.0	8	6	YES
wn:07041902n	bn:00070694n	n	sextet, sextette, sestet	sexteto	a musical composition written for six performers	0.929	2	6	YES
wn:06869428n	bn:00070811n	n	sforzando	sforzando	(music) a notation written above a note and indicating that it is to be played with a strong initial attack	0.6	7	7	YES
wn:11300465n	bn:00070996n	n	Silverstein, Shel_Silverstein, Shelby_Silverstein	shel_silverstein, sheldon_allan_silverstein	United States poet and cartoonist remembered for his stories and poems for children (1932-1999)	0.31	11	7	NO
wn:11269367n	bn:00068209n	n	Romberg, Sigmund_Romberg	siegmund_rosenberg, sigmund_romberg	United States composer (born in Hungary) who composed operettas (1887-1951)	0.374	12	8	NO
wn:04140064n	bn:00069408n	n	saw	sierra	hand tool having a toothed blade for cutting	0.576	13	9	NO
wn:09501737n	bn:00071490n	n	Siegfried	sigfrido	(German mythology) mythical German warrior hero of the Nibelungenlied who takes possession of the accursed treasure of the Nibelungs by slaying the dragon that guards it and awakens Brynhild and is eventually killed; Sigurd is the Norse counterpart	0.534	11	9	NO
wn:04982207n	bn:00065703n	n	silence, quiet	silencio	the absence of sound	0.123	7	5	YES
wn:06870965n	bn:00042637n	n	half_rest	silencio de blanca	a musical rest having the time value of half a whole rest or equal in duration to two beats in common time	0.73	8	8	YES
wn:06871262n	bn:00065595n	n	quarter_rest	silencio de negra	a musical rest having one-fourth the time value of a whole rest	0.589	8	8	YES
wn:06870726n	bn:00081141n	n	whole_rest	silencio_de_redonda	a musical rest equal in duration to four beats in common time	0.738	8	8	YES
wn:00462520r	bn:00116357r	r	noiselessly, soundlessly	silenciosamente, en_silencio	without a sound	1.0	99	99	YES
wn:00229399r	bn:00116769r	r	quietly	silenciosamente, en_silencio	with little or no sound	1.0	99	99	YES
wn:01919282a	bn:00107333a	a	noiseless	silencioso	making no sound	1.0	99	99	YES
wn:01919428a	bn:00110624a	a	silent, soundless, still	silencioso, silente	marked by absence of sound	1.0	99	99	YES
wn:00339173n	bn:00056459n	n	musical_chairs	sillas_de_música	a rearrangement that has no practical effect or significance	0.5	13	11	YES
wn:02252182a	bn:00112264a	a	unaccompanied	sin_acompañamiento	playing or singing without accompaniment	1.0	99	99	YES
wn:07087223n	bn:00075705n	n	syncopation	síncopa, síncopa_musical	a musical rhythm accenting a normally weak beat	0.667	8	6	YES
wn:00170500v	bn:00094707v	v	syncopate	sincopar	modify the rhythm by stressing or accenting a weak beat	0.833	99	99	YES
wn:00910533n	bn:00051448n	n	lip_synchronization, lip_synchronisation, lip_synch, lip_sync	sincronizar_los_labios, sincronizar, fonomímica, sincronía_de_labios	combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech	0.434	11	9	NO
wn:07044760n	bn:00075673n	n	symphony, symphonic_music	sinfonía, música_sinfónica	a long and complex sonata for symphony orchestra	0.76	4	7	YES
wn:10686517n	bn:00075675n	n	symphonist	sinfonista, compositor_de_sinfonías	a composer of symphonies	1.0	12	8	YES
wn:01727052v	bn:00094701v	v	symphonize, symphonise	sinfonizar	play or sound together, in harmony	0.8	99	99	YES
wn:04376400n	bn:00075745n	n	synthesizer, synthesiser	sintetizador	(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments	0.571	13	9	YES
wn:07029088n	bn:00071549n	n	signature, signature_tune, theme_song	sintonía, sintonía_musical	a melody used to identify a performer or a dance band or radio/tv program	0.402	2	6	YES
wn:11259777n	bn:00067719n	n	Rice, Sir_Tim_Rice, Timothy_Miles_Bindon_Rice	sir_timothy_miles_bindon_rice, tim_rice	English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)	0.346	11	7	NO
wn:11175040n	bn:00054396n	n	Menuhin, Yehudi_Menuhin, Sir_Yehudi_Menuhin	sir_yehudi_menuhin, yehudi_menuhin	British violinist (born in the United States) who began his career as a child prodigy in the 1920s (1916-1999)	0.395	12	8	NO
wn:02757462n	bn:00007108n	n	audio_system, sound_system	sistema_de_audio	a system of electronic equipment for recording or reproducing sound	0.314	11	7	YES
wn:04064213n	bn:00066591n	n	recording_system	sistema_de_grabación	audio system for recoding sound	1.0	12	8	YES
wn:00527319n	bn:00071901n	n	skank	skanking, contoneo	a rhythmic dance to reggae music performed by bending forward and extending the hands while bending the knees	0.813	10	8	YES
wn:07066459n	bn:00071962n	n	skiffle	skiffle, jazz_callejero	a style of popular music in the 1950s; based on American folk music and played on guitars and improvised percussion instruments	0.676	3	6	YES
wn:00914343n	bn:00059902n	n	overproduction, overrun	sobreproducción, superproducción	too much production or more than expected	0.789	12	10	NO
wn:06347811n	bn:00075306n	n	supertitle, surtitle	sobretítulo, subtítulo	translation of the words of a foreign opera (or choral work) projected on a screen above the stage	0.421	8	8	YES
wn:11067745n	bn:00045280n	n	Hurok, Sol_Hurok, Solomon_Hurok	sol_hurok	United States impresario who was born in Russia (1888-1974)	0.406	14	10	NO
wn:06867880n	bn:00072710n	n	tonic_solfa, solfa	solfa	a system of solmization using the solfa syllables: do, re, mi, fa, sol, la, ti	0.526	8	8	YES
wn:01255808n	bn:00072713n	n	solfege, solfeggio	solfeo	a voice exercise; singing scales or runs to the same syllable	0.667	11	9	YES
wn:01255935n	bn:00072712n	n	solmization, solfege, solfeggio	solfeo, solmisación	singing using solfa syllables to denote the notes of the scale of C major	0.55	11	9	YES
wn:10623650n	bn:00072749n	n	soloist	solista	a musician who performs a solo	0.905	11	7	YES
wn:07040939n	bn:00072745n	n	solo	solo	a musical composition for one voice or instrument (with or without accompaniment)	0.909	2	6	YES
wn:01715040v	bn:00094038v	v	solo	solo	perform a piece written for a single instrument	1.0	99	99	YES
wn:02252480a	bn:00110903a	a	solo	solo	composed or performed by a single voice or instrument	1.0	99	99	YES
wn:01726762v	bn:00093822v	v	skirl	son, tocar_la_cornamusa	play the bagpipes	0.667	99	99	YES
wn:04056289n	bn:00066269n	n	rattle	sonajero, sonaja	a baby's toy that makes percussive noises when shaken	0.308	10	6	NO
wn:07044088n	bn:00072789n	n	sonata	sonata	a musical composition of 3 or 4 movements of contrasting forms	0.72	3	6	YES
wn:07044276n	bn:00062209n	n	piano_sonata	sonata_para_piano, sonata_para_teclado	a sonata for piano	0.923	4	7	YES
wn:07044680n	bn:00072791n	n	sonatina	sonatina	a short and simple sonata	0.807	4	7	YES
wn:05718254n	bn:00007134n	n	sound, auditory_sensation	sonido, sentido_del_oído, sensación_auditiva	the subjective sensation of hearing something	0.714	10	8	YES
wn:06873139n	bn:00072831n	n	soprano	soprano	the highest female voice; the voice of a boy before puberty	0.5	5	5	YES
wn:10625546n	bn:00072830n	n	soprano	soprano, cantante_soprano	a female singer	0.832	12	8	YES
wn:04264050n	bn:00072844n	n	sourdine, sordino	sordina, sordina_para_violín	a mute for a violin	0.65	13	9	YES
wn:06866599n	bn:00070924n	n	sharp	sostenido	a musical notation indicating one half step higher than the note named	0.54	7	7	YES
wn:01577973a	bn:00110519a	a	sharp	sostenido	(of a musical note) raised in pitch by one chromatic semitone	1.0	99	99	YES
wn:07061968n	bn:00072888n	n	soul	soul	a secular form of gospel that was a major Black musical genre in the 1960s and 1970s	0.79	3	6	YES
wn:07281871n	bn:00073632n	n	sprechgesang, sprechstimme	sprechgesang, sprechstimme	a style of dramatic vocalization between singing and speaking	0.699	4	4	YES
wn:00388094r	bn:00117117r	r	staccato	staccato	separating the notes; in music	1.0	99	99	YES
wn:11012042n	bn:00041426n	n	Grappelli, Stephane_Grappelli	stephane_grapelli, stephane_grappelli, stéphane_grapelli, stéphane_grappelli	French jazz violinist (1908-1997)	0.602	12	8	NO
wn:10975796n	bn:00036034n	n	Foster, Stephen_Foster, Stephen_Collins_Foster	stephen_collins_foster, stephen_foster	United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)	0.378	13	9	NO
wn:11308396n	bn:00072792n	n	Sondheim, Stephen_Sondheim	stephen_joshua_sondheim, stephen_sondheim	United States composer of musicals (born in 1930)	0.311	12	8	NO
wn:11257031n	bn:00066958n	n	Reich, Steve_Reich, Stephen_Michael_Reich	stephen_michael_reich, steve_reich	United States composer (born in 1936)	0.609	12	8	NO
wn:04330998n	bn:00074489n	n	Stradavarius, Strad	stradivarius	a violin made by Antonio Stradivari or a member of his family	0.317	15	11	YES
wn:05860975n	bn:00075003n	n	subtotal	subtotal	the sum of part of a group of numbers	0.5	11	9	NO
wn:14497763n	bn:00027392n	n	dirtiness, uncleanness	suciedad	the state of being unsanitary	0.05	8	6	NO
wn:10673669n	bn:00034007n	n	suicide, felo-de-se	suicidio, suicida	a person who kills himself intentionally	0.059	9	5	NO
wn:02752277v	bn:00094684v	v	swing	swing	have a certain musical rhythm	1.0	99	99	YES
wn:07066042n	bn:00048231n	n	swing, swing_music, jive	swing, música_swing	a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz	0.791	4	7	YES
wn:06816335n	bn:00075811n	n	tablature	tablatura	a musical notation indicating the fingering to be used	0.561	7	7	YES
wn:07383616n	bn:00027189n	n	ding-dong	talán, talán_talán, tolón_tolón, tan, tan, din don dan	the noise made by a bell	1.0	9	7	YES
wn:09985470n	bn:00016357n	n	cutter, carver	tallador, trinchador	someone who carves the meat	0.333	12	8	NO
wn:10036574n	bn:00028896n	n	drum_major	tambor_mayor	the leader of a marching band or drum corps	0.318	12	8	YES
wn:11400704n	bn:00076010n	n	Wynette, Tammy_Wynette, Tammy_Wynetter_Pugh	tammy_wynette, virginia_wynette_pugh, virginia_wynette_richey	United States country singer (1942-1998)	0.556	12	8	NO
wn:07057829n	bn:00076042n	n	tango	tango	music written in duple time for dancing the tango	0.315	2	6	YES
wn:07057948n	bn:00076136n	n	tarantella	tarantella, tarantela	music composed in six-eight time for dancing the tarantella	1.0	2	6	YES
wn:00533805n	bn:00076137n	n	tarantella, tarantelle	tarantella, tarantela	a lively whirling Italian dance for two persons	0.5	11	9	YES
wn:07385803n	bn:00045151n	n	hum, humming	tarareo, zumbido, canturrear	a humming noise	0.414	9	7	YES
wn:07281635n	bn:00075799n	n	Ta'ziyeh	ta'ziyeh, tazié	(Islam) a form of Iranian musical pageant that is the theatrical expression of religious passion; based on the Battle of Kerbala and performed annually (in Farsi)	0.043	1	5	YES
wn:10229883n	bn:00049009n	n	keyboardist	tecladista, teclista	a musician who plays a keyboard instrument	0.903	11	7	YES
wn:03039015n	bn:00019615n	n	clavier, Klavier	teclado	a stringed instrument that has a keyboard	0.5	13	9	YES
wn:05643190n	bn:00064626n	n	proficiency, technique	técnica	skillfulness in the command of fundamentals deriving from practice and familiarity	0.727	7	5	NO
wn:00950705n	bn:00021499n	n	computer_technology	tecnología_informática	the activity of designing and constructing and programming computers	0.005	11	9	NO
wn:10697420n	bn:00076372n	n	telecaster	telecaster, presentador_de_televisión	a television broadcaster	0.5	10	6	NO
wn:07030012n	bn:00079588n	n	variation	tema_con_variaciones, variación	a repetition of a musical theme in which it is modified or embellished	0.907	3	7	YES
wn:07028964n	bn:00076813n	n	theme_song	tema_principal	a melody that recurs and comes to represent a musical play or movie	0.401	2	6	YES
wn:15264363n	bn:00060099n	n	tempo, pacing	tempo, tiempo_musical, tiempo	(music) the speed at which a composition is to be played	0.764	7	5	YES
wn:10701783n	bn:00076534n	n	tenor	tenor	an adult male with a tenor voice	0.875	12	8	YES
wn:01215263a	bn:00111731a	a	tenor	tenor	(of a musical instrument) intermediate between alto and baritone or bass	1.0	99	99	YES
wn:06872676n	bn:00076532n	n	tenor, tenor_voice	tenor, voz_de_tenor	the adult male singing voice above baritone	0.842	5	5	YES
wn:11338667n	bn:00076891n	n	Thespis	tespis, thespis	Greek poet who is said to have originated Greek tragedy (sixth century BC)	0.075	11	7	NO
wn:06544142n	bn:00076666n	n	will, testament	testamento, voluntad	a legal document declaring a person's wishes regarding the disposal of their property when they die	0.444	7	7	NO
wn:06392660n	bn:00000380n	n	above	texto_anterior	an earlier section of a written text	0.5	2	6	NO
wn:04984007n	bn:00076742n	n	texture	textura_musical, textura	the musical pattern created by parts being played or sung together	0.769	8	6	YES
wn:11185500n	bn:00055683n	n	Monk, Thelonious_Monk, Thelonious_Sphere_Monk	thelonious_monk, thelonious_sphere_monk	United States jazz pianist who was one of the founders of the bebop style (1917-1982)	0.621	12	8	NO
wn:11329808n	bn:00075981n	n	Tallis, Thomas_Tallis	thomas_tallis	English organist and composer of church and secular music; was granted a monopoly in music printing with William Byrd (1505-1585)	0.249	12	8	NO
wn:11340824n	bn:00076984n	n	Thomson, Virgil_Thomson, Virgil_Garnett_Thomson	thomson, virgil_garnett_thomson, virgil_thomson	United States composer who collaborated with Gertrude Stein (1896-1989)	0.224	12	8	NO
wn:07086972n	bn:00028479n	n	downbeat	tiempo_acentuado, compás_acentuado	the first beat of a musical measure (as the conductor's arm moves downward)	1.0	8	6	YES
wn:07087102n	bn:00058673n	n	upbeat, offbeat	tiempo_no_acentuado, compás_no_acentuado	an unaccented beat (especially the last beat of a measure)	0.798	8	6	YES
wn:10734963n	bn:00077328n	n	tympanist, timpanist	timbalero	a person who plays the kettledrums	0.534	13	9	YES
wn:08539557n	bn:00077337n	n	Tin_Pan_Alley	tin_pan_alley	a city district (originally in New York) where composers and publishers of popular music do business	0.674	12	8	NO
wn:07385998n	bn:00047970n	n	jingle, jangle	tintineo, cascabeleo	a metallic sound	0.86	8	6	YES
wn:14498972n	bn:00072368n	n	smuttiness, sootiness	tiznadura	the state of being dirty with soot	0.5	9	7	NO
wn:04064401n	bn:00062042n	n	record_player, phonograph	tocadiscos, fonógrafo	machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically	0.223	12	8	YES
wn:00101191n	bn:00062956n	n	playing	tocar	the act of playing a musical instrument	1.0	12	10	YES
wn:01725375v	bn:00094685v	v	swing	tocar_con_swing	play with a subtle and intuitively felt sense of rhythm	0.8	99	99	YES
wn:01732713v	bn:00089223v	v	harp	tocar_el_harpa	play the harp	0.75	99	99	YES
wn:01725051v	bn:00091710v	v	play	tocar_el_harpa	play on an instrument	1.0	99	99	YES
wn:01732532v	bn:00087400v	v	drum	tocar_el_tambor, tamborilear	play a percussion instrument	0.667	99	99	YES
wn:01733667v	bn:00088148v	v	fiddle	tocar_el_violín	play the violin or fiddle	0.8	99	99	YES
wn:01724891v	bn:00088149v	v	fiddle	tocar_el_violín	play on a violin	1.0	99	99	YES
wn:01649695v	bn:00090845v	v	misplay	tocar_erróneamente	play incorrectly, e.g., play a wrong note	1.0	99	99	YES
wn:01725734v	bn:00089955v	v	jazz	tocar_jazz	play something in the style of jazz	0.6	99	99	YES
wn:01726039v	bn:00084197v	v	bugle	tocar_la_corneta	play on a bugle	0.667	99	99	YES
wn:01727684v	bn:00091655v	v	pipe	tocar_la_flauta	play on a pipe	0.75	99	99	YES
wn:01727354v	bn:00084943v	v	chord	tocar_las_cuerdas, acordar	play chords on (a string instrument)	0.667	99	99	YES
wn:01759166v	bn:00084311v	v	busk	tocar_música_en_la_calle, busk	play music in a public place and solicit money for it	1.0	99	99	YES
wn:01725886v	bn:00092313v	v	rag	tocar_ragtime	play in ragtime	0.75	99	99	YES
wn:07044353n	bn:00077456n	n	toccata	tocata, toccata	a baroque musical composition (usually for a keyboard instrument) with full chords and rapid elaborate runs in a rhythmically free style	0.694	2	6	YES
wn:07391079n	bn:00066219n	n	rat-a-tat-tat, rat-a-tat, rat-tat	toc-toc, tantarán, tantarantán	a series of short sharp taps (as made by strokes on a drum or knocks on a door)	0.333	9	7	YES
wn:02437148a	bn:00111973a	a	tonal	tonal	having tonality; i.e. tones and chords organized in relation to one tone such as a keynote or tonic	1.0	99	99	YES
wn:02438043a	bn:00111984a	a	tonic	tónico	relating to or being the keynote of a major or minor scale	1.0	99	99	YES
wn:04992008n	bn:00051209n	n	lilt, swing	tonillo, melodía, swing	a jaunty rhythm in music	0.927	8	6	YES
wn:05719605n	bn:00065278n	n	tone, pure_tone	tono	a steady sound without overtones	0.384	11	9	YES
wn:04985580n	bn:00021564n	n	concert_pitch, philharmonic_pitch, international_pitch	tono_de_concierto, diapasón	the pitch used to tune instruments for concert performances; usually assigns 440 Hz to the A above middle C	0.548	8	6	YES
wn:10221040n	bn:00028286n	n	jerk, dork	tonto	a dull stupid fatuous person	0.5	10	6	NO
wn:07065932n	bn:00077859n	n	trad	trad, jazz_tradicional	traditional jazz as revived in the 1950s	1.0	4	7	YES
wn:10561613n	bn:00041133n	n	scoffer, gorger	tragón, zampón	someone who eats food rapidly and greedily	0.5	11	7	NO
wn:07050379n	bn:00077811n	n	tra-la, tra-la-la	tra-la-la	a set of nonsensical syllables used while humming a refrain	0.667	2	6	YES
wn:01708113v	bn:00095080v	v	transcribe	transcribir	rewrite or arrange a piece of music for an instrument or medium other than that originally intended	1.0	99	99	YES
wn:04470605n	bn:00077965n	n	transcription	transcripción	a sound or television recording (e.g., from a broadcast to a tape recording)	0.5	13	9	YES
wn:01706631v	bn:00095123v	v	transpose	transportar	put (a piece of music) into another key	1.0	99	99	YES
wn:00339907n	bn:00078054n	n	transposition	transposición	(electricity) a rearrangement of the relative positions of power lines in order to minimize the effects of mutual capacitance and inductance	0.2	13	11	NO
wn:07391240n	bn:00066082n	n	rattle, rattling, rale	traqueteo	a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)	0.429	9	7	YES
