wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:03517760n	bn:00043977n	n	hi-fi, high_fidelity_sound_system	alta_fidelidad, hi-fi, hifi	equipment for the reproduction of sound with high fidelity	0.5	13	9	YES
wn:09786115n	bn:00003145n	n	alto	alto	a singer whose voice lies in the alto clef	1.0	12	8	YES
wn:11180209n	bn:00003155n	n	Miller, Glenn_Miller, Alton_Glenn_Miller	alton_glenn_miller, glenn_miller_orchestra, glenn_miller	United States bandleader of a popular big band (1909-1944)	0.499	13	9	NO
wn:09786226n	bn:00003152n	n	alto_saxophonist, altoist	altosaxofonista	a musician who plays the alto saxophone	0.882	12	8	YES
wn:02700895n	bn:00003237n	n	Amati	Amati	a violin made by Nicolo Amati or a member of his family	0.5	15	11	YES
wn:05127959n	bn:00032277n	n	sweep, expanse	amplitud, extensión	a wide scope	1.0	9	7	NO
wn:15265219n	bn:00003939n	n	andante	andante	a moderately slow tempo (a walking pace)	1.0	8	6	YES
wn:07040148n	bn:00003940n	n	andante	andante	a musical composition or musical passage to be performed moderately slow	0.764	2	6	YES
wn:00982954a	bn:00097069a	a	andante	andante	(of tempo) moderately slow	1.0	99	99	YES
wn:00267812r	bn:00114284r	r	andante	andante	at a moderately slow tempo	1.0	99	99	YES
wn:11291284n	bn:00003981n	n	Segovia, Andres_Segovia	andres_segovia_torres, andres_segovia_y_torres, andres_segovia, segovia, andrés_segovia, andrés_segovia_torres, andrés_segovia_y_torres	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0.176	12	8	NO
wn:11136405n	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	andrew_lloyd_webber, andrew_lloyd_weber, lloyd_webber	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0.401	12	8	NO
wn:02712907n	bn:00004256n	n	animalization	animalización	a depiction in the form of an animal	0.769	13	9	NO
wn:02592397v	bn:00085467v	v	emcee, compere	animar, presentar	act as a master of ceremonies	1.0	99	99	NO
wn:03884397n	bn:00060368n	n	panpipe, pandean_pipe, syrinx	antara, flauta_de_pan, zampoña	a primitive wind instrument consisting of several parallel pipes bound together	0.319	14	10	YES
wn:10464711n	bn:00064104n	n	predecessor	antecesor, predecesora, predecesor	one who precedes you in time (as in holding a position or office)	1.0	9	5	NO
wn:07033245n	bn:00004714n	n	antiphon, antiphony	antífona	a verse or song to be chanted or sung in response	0.282	3	6	YES
wn:02630519a	bn:00097251a	a	antiphonary, antiphonal	antifonario, antifonal	relating to or resembling an antiphon or antiphony	0.667	99	99	YES
wn:10938640n	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	antoine_dominique_domino, antoine_domino, fats_domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0.649	12	8	NO
wn:10868025n	bn:00004769n	n	Bruckner, Anton_Bruckner	anton_bruckner, bruckner, ánton_bruckner	Austrian organist and composer of romantic music (1824-1896)	0.528	12	8	NO
wn:11273286n	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	anton_gregor_rubinstein, anton_grigorevich_rubinstein, anton_rubenstein, anton_rubinstein, rubinstein, antón_rubinstein	Russian composer and pianist (1829-1894)	0.504	12	8	NO
wn:10946961n	bn:00004773n	n	Dvorak, Antonin_Dvorak	antonin_dvorak, antonin_dvorák, antonín_dvořák	Czech composer who combined folk elements with traditional forms (1841-1904)	0.496	12	8	NO
wn:11367910n	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	antonio_lucio_vivaldi, antonio_vivaldi, vivaldi	Italian baroque composer and violinist (1675-1741)	0.369	12	8	NO
wn:11320821n	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	antonio_stradivarius, antonio_stradivari, stradivari	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0.26	11	7	NO
wn:09795124n	bn:00004355n	n	announcer	anunciador, locutor, presentador	reads news, commercials on radio or television	0.112	10	6	NO
wn:10713686n	bn:00075680n	n	toastmaster, symposiarch	anunciador_de_brindis	the person who proposes toasts and introduces speakers at a banquet	0.05	10	6	NO
wn:02190188v	bn:00089539v	v	quieten, hush, quiet, quiesce, quiet_down, pipe_down	apaciguarse, callarse, serenarse, tranquilizarse	become quiet or quieter	1.0	99	99	YES
wn:06392001n	bn:00070190n	n	section, subdivision	apartado, parte, sección	a self-contained part of a larger composition (written or musical)	0.766	1	5	YES
wn:06691989n	bn:00005053n	n	applause, hand_clapping, clapping	aplaudir, aplauso, palmadas, palmada, palmas, plauso	a demonstration of approval by clapping the hands together	0.327	5	5	YES
wn:06692238n	bn:00042768n	n	hand	aplauso	a round of applause to signify approval	1.0	6	6	YES
wn:06692369n	bn:00042802n	n	handclap	aplauso	a clap of the hands to indicate approval	0.783	6	6	YES
wn:01728213v	bn:00083083v	v	bang_out	aporrear	play loudly	0.5	99	99	YES
wn:00084895n	bn:00055273n	n	misappropriation	apropiación_indebida	wrongful borrowing	0.5	10	8	NO
wn:05126066n	bn:00005163n	n	approximate_range, ballpark	aproximado, ámbito_aproximado	near to the scope or range of something	1.0	9	7	NO
wn:07010275n	bn:00064708n	n	promptbook, prompt_copy	apunte	the copy of the playscript used by the prompter	0.5	7	7	NO
wn:11103648n	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	aram_ilich_jachaturian, aram_jachaturian, aram_kachaturian, aram_katchaturian, aram_khachatourian, aram_khachaturian, aram_khatchaturian, kachaturian, khachaturian, արամ_խաչատրյան, aram_jachaturián, aram_ilich_jachaturián	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0.358	12	8	NO
wn:11095587n	bn:00005303n	n	Kachaturian, Aram_Kachaturian	aram_kachaturian, kachaturian	Armenian composer who incorporated oriental folk music (1903-1978)	0.357	12	8	NO
wn:10910948n	bn:00005378n	n	Corelli, Arcangelo_Corelli	arcangel_corelli, arcangelo_corelli, corelli, arcángel_corelli, arcángelo_corelli	Italian violinist and composer of violin concertos (1653-1713)	0.496	12	8	NO
wn:07049514n	bn:00005624n	n	aria	aria	an elaborate song for solo voice	0.78	3	7	YES
wn:07049634n	bn:00005638n	n	arietta, short_aria	aria_corta, arietta, arieta	a short aria	1.0	4	8	YES
wn:01501505a	bn:00097492a	a	ariose, songlike	arioso	having a melody (as distinguished from recitative)	1.0	99	99	YES
wn:07087508n	bn:00005646n	n	arioso	arioso	(music) a short recitative that is melodic but is not an aria	0.841	4	8	YES
wn:11044939n	bn:00043828n	n	Herman, Woody_Herman, Woodrow_Charles_Herman	armando, herman, woodrow_charles_herman, woody_herman	United States jazz musician and bandleader (1913-1987)	0.661	12	8	NO
wn:07027180n	bn:00043029n	n	harmony, musical_harmony	armonía, armonía_musical	the structure of music with respect to the composition and progression of chords	0.597	1	5	YES
wn:00134727r	bn:00115601r	r	harmonically	armónicamente, en_términos_armónicos	with respect to harmony	1.0	99	99	YES
wn:04988078n	bn:00043016n	n	harmonic	armónico	any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental	0.376	8	6	YES
wn:02737772a	bn:00103976a	a	harmonic	armónico	of or relating to harmony as distinct from melody and rhythm	1.0	99	99	YES
wn:03494537n	bn:00043028n	n	harmonium, organ, reed_organ	armonio, harmonio, órgano, armónium	a free-reed instrument in which air is forced through the reeds by bellows	0.529	14	10	YES
wn:07027458n	bn:00043024n	n	harmonization, harmonisation	armonización	a piece of harmonized music	0.92	2	6	YES
wn:01253778n	bn:00043025n	n	harmonization, harmonisation	armonización	singing in harmony	1.0	11	9	YES
wn:10160624n	bn:00043026n	n	harmonizer, harmoniser	armonizador	a musician who sings or plays in harmony	1.0	11	7	YES
